file,cell,pdu,complete_valid_hours,total_hours,complete_valid_hour_coverage,full_window
cella_pdu10.csv.gz,a,pdu10,744,744,1,true
cella_pdu6.csv.gz,a,pdu6,744,744,1,true
cella_pdu7.csv.gz,a,pdu7,744,744,1,true
cella_pdu8.csv.gz,a,pdu8,744,744,1,true
cella_pdu9.csv.gz,a,pdu9,744,744,1,true
cellb_pdu11.csv.gz,b,pdu11,744,744,1,true
cellb_pdu12.csv.gz,b,pdu12,744,744,1,true
cellb_pdu13.csv.gz,b,pdu13,743,744,0.998655913978,false
cellb_pdu14.csv.gz,b,pdu14,744,744,1,true
cellb_pdu15.csv.gz,b,pdu15,744,744,1,true
cellc_pdu38.csv.gz,c,pdu38,743,744,0.998655913978,false
cellc_pdu39.csv.gz,c,pdu39,742,744,0.997311827957,false
cellc_pdu40.csv.gz,c,pdu40,744,744,1,true
cellc_pdu41.csv.gz,c,pdu41,743,744,0.998655913978,false
cellc_pdu42.csv.gz,c,pdu42,742,744,0.997311827957,false
cellc_pdu43.csv.gz,c,pdu43,743,744,0.998655913978,false
celld_pdu32.csv.gz,d,pdu32,744,744,1,true
celld_pdu33.csv.gz,d,pdu33,744,744,1,true
celld_pdu34.csv.gz,d,pdu34,744,744,1,true
celld_pdu35.csv.gz,d,pdu35,743,744,0.998655913978,false
celld_pdu36.csv.gz,d,pdu36,744,744,1,true
celld_pdu37.csv.gz,d,pdu37,743,744,0.998655913978,false
celle_pdu26.csv.gz,e,pdu26,744,744,1,true
celle_pdu27.csv.gz,e,pdu27,744,744,1,true
celle_pdu28.csv.gz,e,pdu28,744,744,1,true
celle_pdu29.csv.gz,e,pdu29,744,744,1,true
celle_pdu30.csv.gz,e,pdu30,744,744,1,true
celle_pdu31.csv.gz,e,pdu31,744,744,1,true
cellf_pdu16.csv.gz,f,pdu16,744,744,1,true
cellf_pdu17.csv.gz,f,pdu17,744,744,1,true
cellf_pdu18.csv.gz,f,pdu18,744,744,1,true
cellf_pdu19.csv.gz,f,pdu19,744,744,1,true
cellf_pdu20.csv.gz,f,pdu20,744,744,1,true
cellf_pdu21.csv.gz,f,pdu21,744,744,1,true
cellf_pdu22.csv.gz,f,pdu22,744,744,1,true
cellf_pdu23.csv.gz,f,pdu23,744,744,1,true
cellf_pdu24.csv.gz,f,pdu24,744,744,1,true
cellf_pdu25.csv.gz,f,pdu25,744,744,1,true
cellg_pdu1.csv.gz,g,pdu1,744,744,1,true
cellg_pdu2.csv.gz,g,pdu2,744,744,1,true
cellg_pdu3.csv.gz,g,pdu3,744,744,1,true
cellg_pdu4.csv.gz,g,pdu4,744,744,1,true
cellg_pdu5.csv.gz,g,pdu5,744,744,1,true
cellh_pdu44.csv.gz,h,pdu44,743,744,0.998655913978,false
cellh_pdu45.csv.gz,h,pdu45,744,744,1,true
cellh_pdu46.csv.gz,h,pdu46,743,744,0.998655913978,false
cellh_pdu47.csv.gz,h,pdu47,742,744,0.997311827957,false
cellh_pdu48.csv.gz,h,pdu48,742,744,0.997311827957,false
cellh_pdu49.csv.gz,h,pdu49,743,744,0.998655913978,false
cellh_pdu50.csv.gz,h,pdu50,743,744,0.998655913978,false
cellh_pdu51.csv.gz,h,pdu51,741,744,0.995967741935,false
cellh_pdu52.csv.gz,h,pdu52,743,744,0.998655913978,false
cellh_pdu53.csv.gz,h,pdu53,744,744,1,true
cellh_pdu54.csv.gz,h,pdu54,744,744,1,true
cellh_pdu55.csv.gz,h,pdu55,742,744,0.997311827957,false
