hour_index,cluster_window_start_us,cluster_window_end_us,power_source_first_sample_time_us,power_source_last_sample_time_us,power_valid_sample_count,measured_power_util_mean,measured_power_util_min,measured_power_util_max,observed_cpu_ncu_lower,observed_cpu_ncu_upper,observed_cpu_time_ncu_seconds_lower,observed_cpu_time_ncu_seconds_upper,priority_candidate_cpu_ncu_lower,priority_candidate_cpu_ncu_upper,priority_candidate_cpu_share_lower,priority_candidate_cpu_share_upper,ambiguous_priority_cpu_share_lower,ambiguous_priority_cpu_share_upper,unknown_priority_cpu_share_lower,unknown_priority_cpu_share_upper,synthesized_priority_cpu_share_lower,synthesized_priority_cpu_share_upper,missing_cpu_overlap_seconds,cpu_conflict_overlap_seconds,known_machine_capacity_ncu_time_average,active_machine_count_time_average,known_capacity_machine_count_time_average,unknown_capacity_machine_seconds,machine_capacity_complete
0,0,3600000000,600000000,3900000000,12,0.692416666666667,0.676,0.707,639.342595115238,639.342595120801,2301633.34241486,2301633.34243488,254.886222420352,254.886222420352,0.398669233624568,0.398669233628037,0.00689276823004321,0.00689276823010319,0,0,0.0398677212859918,0.0398677212863387,0,1,1220.89300084111,1221.39300084111,1221.39300084111,0,true
1,3600000000,7200000000,4200000000,7500000000,12,0.7035,0.696,0.712,707.12780169487,707.127806115945,2545660.08610153,2545660.1020174,287.462705538306,287.46270583474,0.406521569612381,0.406521572232392,0.00435831148485126,0.00435831151210011,0,0,0.0371118090735109,0.0371118093055399,0,8,1221.23320457472,1221.73320457472,1221.73320457472,0,true
2,7200000000,10800000000,7800000000,11100000000,12,0.708583333333333,0.7,0.714,715.280015267001,715.280015776422,2575008.0549612,2575008.05679512,302.325956568433,302.325956669363,0.422667976097338,0.422667976420186,0.00368674655760403,0.00368674656022973,0,0,0.0388305011919308,0.0388305012195858,0,8,1220.75009866333,1221.25009866333,1221.25009866333,0,true
3,10800000000,14400000000,11400000000,14700000000,12,0.691083333333333,0.685,0.7,688.107659218841,688.107659564018,2477187.57318783,2477187.57443047,278.370487183594,278.370487528772,0.404544962483935,0.404544962782635,0.00367744300912589,0.00367744301097061,0,0,0.0393700082533367,0.039370008273086,0,3,1221.32456756389,1221.82456756389,1221.82456756389,0,true
4,14400000000,18000000000,15000000000,18300000000,12,0.699916666666667,0.692,0.707,705.610803243849,705.610803439882,2540198.89167786,2540198.89238358,280.640419371388,280.640419565037,0.39772693116414,0.397726931330772,0.00296450737510167,0.00296450737592527,0,0,0.0426197065818794,0.04261970659372,0,6,1220.50181864028,1221.00181864028,1221.00181864028,0,true
5,18000000000,21600000000,18600000000,21900000000,12,0.720833333333333,0.711,0.729,732.035839728249,732.035840646956,2635329.0230217,2635329.02632904,285.534849219448,285.534850119081,0.390055832946658,0.39005583370641,0.00154518615433886,0.00154518615627807,0,0,0.0456021463364578,0.0456021463936885,0,2,1219.96195410556,1220.46195410556,1220.46195410556,0,true
6,21600000000,25200000000,22200000000,25500000000,12,0.7365,0.727,0.75,754.909248621994,754.90924890995,2717673.29503918,2717673.29607582,298.194923497522,298.194923785479,0.395007643689418,0.395007643920189,0.00106157562302095,0.00106157562342588,0,0,0.0450774049608175,0.045077404978012,0,3,1220.87256429361,1221.37256429361,1221.37256429361,0,true
7,25200000000,28800000000,25800000000,29100000000,12,0.755583333333333,0.753,0.759,806.362769482136,806.36277094841,2902905.97013569,2902905.97541428,299.637715458692,299.637716922317,0.371591703880552,0.371591705022394,0.00090234460596191,0.000902344607602716,0,0,0.0447789659068717,0.0447789659882969,0,10,1221.01475388722,1221.51475388722,1221.51475388722,0,true
8,28800000000,32400000000,29400000000,32700000000,12,0.75725,0.756,0.758,809.729911182986,809.729911547237,2915027.68025875,2915027.68157005,276.184983555796,276.184983913423,0.341082847180537,0.341082847474346,0.000875027369977741,0.000875027370371365,0,0,0.0462113752524427,0.0462113752732305,0,4,1221.0314026625,1221.5314026625,1221.5314026625,0,true
9,32400000000,36000000000,33000000000,36300000000,12,0.758916666666667,0.756,0.761,819.990725700325,819.990732997788,2951966.61252117,2951966.63879204,270.052766601947,270.052767960403,0.329336364646531,0.32933636814291,0.000870736640724259,0.000870736648473332,0,0,0.0471197129327172,0.0471197133520565,0,4,1221.02957010944,1221.52957010944,1221.52957010944,0,true
