candidate_group_id,candidate_key_json,candidate_group_size,source_obs_ids,postal_code,start_timestamp_local,restoration_timestamp_local,cause_category,normalized_cause_category_detail,cause_detail_complete,nerc_regions,multi_nerc,reported_duration_min,reported_duration_min_min,reported_duration_min_max,timestamp_duration_min,timestamp_duration_min_min,timestamp_duration_min_max,duration_delta_min,duration_delta_min_min,duration_delta_min_max,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_known,demand_loss_positive,demand_loss_zero,demand_loss_known_count,demand_loss_max_mw,demand_loss_min_mw,customers_known_count,customers_max,customers_min
6fc2deff6fe6a318918d9580bfca566283dd0fc8e5678c2ec86774cb1e28775e,"[""AK"",""__MISSING__"",""__MISSING__"",""__MISSING__"",""__MISSING__"",""equipment failure"",""failure""]",1,1534,AK,__MISSING__,__MISSING__,equipment failure,failure,true,ASCC,false,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,false,false,false,false,true,true,false,1,35,35,1,14273,14273
3e5f4a0377e878d984bcdc5a70ead96230fafcd6d5569474acb1f1d5422f7d7e,"[""AL"",""2000-08-10T00:00:00"",""21:30:00"",""2000-08-11T00:00:00"",""18:00:00"",""severe weather"",""__MISSING__""]",1,342,AL,2000-08-10T21:30:00,2000-08-11T18:00:00,severe weather,__MISSING__,false,SERC,false,1230,1230,1230,1230,1230,1230,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,1,75000,75000
4eed1f1629104eb4ba41b1035aee21795ef94f5f6d51bf965f7e0fd5b4bebd3f,"[""AL"",""2000-12-16T00:00:00"",""11:36:00"",""2000-12-18T00:00:00"",""18:00:00"",""severe weather"",""tornadoes""]",1,341,AL,2000-12-16T11:36:00,2000-12-18T18:00:00,severe weather,tornadoes,true,SERC,false,3264,3264,3264,3264,3264,3264,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,1,60000,60000
03ef09c8d1c924e82e08e992744e6986cbd5bc76e669f1effae19795d65a34b9,"[""AL"",""2013-04-17T00:00:00"",""15:36:00"",""2013-04-17T00:00:00"",""16:53:00"",""intentional attack"",""__MISSING__""]",1,344,AL,2013-04-17T15:36:00,2013-04-17T16:53:00,intentional attack,__MISSING__,false,SERC,false,77,77,77,77,77,77,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
7ebce3fed77e86006405f8b8820fb477886e18e32fb0e8b50accc6f1d92de83a,"[""AL"",""2014-06-07T00:00:00"",""23:00:00"",""2014-06-08T00:00:00"",""05:30:00"",""severe weather"",""thunderstorm""]",1,339,AL,2014-06-07T23:00:00,2014-06-08T05:30:00,severe weather,thunderstorm,true,SERC,false,390,390,390,390,390,390,0,0,0,true,true,true,true,true,true,false,1,217,217,1,65000,65000
8b0c96f10082ab73e60f094edfbb3d85a8f85d8b58d82164688a7fa20ec21516,"[""AL"",""2015-07-14T00:00:00"",""20:00:00"",""2015-07-15T00:00:00"",""09:23:00"",""severe weather"",""__MISSING__""]",1,343,AL,2015-07-14T20:00:00,2015-07-15T09:23:00,severe weather,__MISSING__,false,SERC,false,803,803,803,803,803,803,0,0,0,true,true,true,true,true,true,false,1,366,366,1,111644,111644
34459feb571298b72aebf23ce1e077880cbb259d27d13b3d473ac5787295bc24,"[""AL"",""__MISSING__"",""__MISSING__"",""__MISSING__"",""__MISSING__"",""severe weather"",""thunderstorm""]",1,340,AL,__MISSING__,__MISSING__,severe weather,thunderstorm,true,SERC,false,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,false,false,false,false,false,false,false,0,__MISSING__,__MISSING__,1,160000,160000
72a0820af174390ff269f2f0ac646b418a56e3108765447784a8c28f61f21883,"[""AR"",""2002-12-03T00:00:00"",""18:30:00"",""2002-12-09T00:00:00"",""10:30:00"",""severe weather"",""winter storm""]",1,1302,AR,2002-12-03T18:30:00,2002-12-09T10:30:00,severe weather,winter storm,true,SPP,false,8160,8160,8160,8160,8160,8160,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,1,43000,43000
0b004ec3c4ce394b1ac285a91fcd730435696f73d943d767dd71a3bf824fcf22,"[""AR"",""2005-08-20T00:00:00"",""14:15:00"",""2005-08-20T00:00:00"",""16:21:00"",""severe weather"",""thunderstorm""]",1,1305,AR,2005-08-20T14:15:00,2005-08-20T16:21:00,severe weather,thunderstorm,true,ECAR,false,126,126,126,126,126,126,0,0,0,true,true,true,true,true,true,false,1,650,650,1,50797,50797
70a0dbe167664352bc94d99d657bea558f9831eedee022d74125ade75bcb82d1,"[""AR"",""2006-07-19T00:00:00"",""11:00:00"",""2006-07-19T00:00:00"",""17:54:00"",""public appeal"",""__MISSING__""]",1,1304,AR,2006-07-19T11:00:00,2006-07-19T17:54:00,public appeal,__MISSING__,false,SERC,false,414,414,414,414,414,414,0,0,0,true,true,true,true,true,true,false,1,40,40,1,8000,8000
