variables,OBS,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,candidate_group_id,candidate_group_size,candidate_row_rank,duplicate_candidate,duplicate_excess_row,normalized_cause_category_detail,start_timestamp_local,restoration_timestamp_local,reported_duration_min,timestamp_duration_min,duration_delta_min,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_mw_numeric,demand_loss_known,demand_loss_positive,demand_loss_zero,customers_affected_numeric,nerc_regions,multi_nerc,source_row_primary_duration_member,source_row_known_loss_member,source_row_positive_loss_member,source_row_zero_duration_member
__MISSING__,1,2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,2011-07-01T00:00:00,17:00:00,2011-07-03T00:00:00,20:00:00,severe weather,__MISSING__,__MISSING__,3060,__MISSING__,70000,11.6,9.18,6.81,9.28,2332915,2114774,2113291,6562520,35.5490726123501,32.2250294094342,32.2024313830663,2308736,276286,10673,2595696,88.9447762758042,10.6440045367408,0.411180662142254,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,b0831a8c76da76d450d4f85eb7a857be21c0faba138f04dc896ccbaea8690109,1,1,false,false,__MISSING__,2011-07-01T17:00:00,2011-07-03T20:00:00,3060,3060,0,true,true,true,true,__MISSING__,false,false,false,70000,MRO,false,true,false,false,true
__MISSING__,2,2014,5,Minnesota,MN,MRO,East North Central,-0.1,normal,2014-05-11T00:00:00,18:38:00,2014-05-11T00:00:00,18:39:00,intentional attack,vandalism,__MISSING__,1,__MISSING__,__MISSING__,12.12,9.71,6.49,9.28,1586986,1807756,1887927,5284231,30.0324872247258,34.2103893641289,35.7275637647181,2345860,284978,9898,2640737,88.8335339717662,10.791608554733,0.374819605284434,53499,49091,1.08979242631032,1.9,5226,291955,1.79000188385196,2.2,5457125,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,c2c1bfdad074fd98c0ffcc3a34ca7e15161cb801ac539203a01f68d4f07f93a4,1,1,false,false,vandalism,2014-05-11T18:38:00,2014-05-11T18:39:00,1,1,0,true,true,true,true,__MISSING__,false,false,false,__MISSING__,MRO,false,true,false,false,true
__MISSING__,3,2010,10,Minnesota,MN,MRO,East North Central,-1.5,cold,2010-10-26T00:00:00,20:00:00,2010-10-28T00:00:00,22:00:00,severe weather,heavy wind,__MISSING__,3000,__MISSING__,70000,10.87,8.19,6.07,8.15,1467293,1801683,1951295,5222116,28.0976715185951,34.5010145312743,37.365983444259,2300291,276463,10150,2586905,88.9205827040421,10.6870178843058,0.392360755420087,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,9e0f961b19d8dacb9ea603c5b1889f7996ed26d978eda65705b32fa9bdeb6fe3,1,1,false,false,heavy wind,2010-10-26T20:00:00,2010-10-28T22:00:00,3000,3000,0,true,true,true,true,__MISSING__,false,false,false,70000,MRO,false,true,false,false,true
__MISSING__,4,2012,6,Minnesota,MN,MRO,East North Central,-0.1,normal,2012-06-19T00:00:00,04:30:00,2012-06-20T00:00:00,23:00:00,severe weather,thunderstorm,__MISSING__,2550,__MISSING__,68200,11.79,9.25,6.71,9.19,1851519,1941174,1993026,5787064,31.9940992530928,33.5433304349148,34.4393288202792,2317336,278466,11010,2606813,88.8953676385686,10.682239193989,0.42235480642455,51598,48156,1.07147603621563,0.6,5364,277627,1.93208873776686,2.2,5380443,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,24d837665f33e0642a084dc36051d30d163bf645e5106b37eb46e67aa4a1f5dc,1,1,false,false,thunderstorm,2012-06-19T04:30:00,2012-06-20T23:00:00,2550,2550,0,true,true,true,true,__MISSING__,false,false,false,68200,MRO,false,true,false,false,true
__MISSING__,5,2015,7,Minnesota,MN,MRO,East North Central,1.2,warm,2015-07-18T00:00:00,02:00:00,2015-07-19T00:00:00,07:00:00,severe weather,__MISSING__,__MISSING__,1740,250,250000,13.07,10.16,7.74,10.43,2028875,2161612,1777937,5970339,33.982576198772,36.2058502875632,29.7794982830958,2374674,289044,9812,2673531,88.821637003648,10.8113203101067,0.367005282527115,54431,49844,1.09202712462884,1.7,4873,292023,1.66870417741068,2.2,5489594,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,f61b67c7294a70703575c9617ecf627cfeb122b05b5c9fabc6e5514b891f0fd1,1,1,false,false,__MISSING__,2015-07-18T02:00:00,2015-07-19T07:00:00,1740,1740,0,true,true,true,true,250,true,true,false,250000,MRO,false,true,true,true,true
__MISSING__,6,2010,11,Minnesota,MN,MRO,East North Central,-1.4,cold,2010-11-13T00:00:00,15:00:00,2010-11-14T00:00:00,22:00:00,severe weather,winter storm,__MISSING__,1860,__MISSING__,60000,10.63,8.34,6.15,8.28,1676347,1786144,1909874,5374150,31.1927839751403,33.2358419470986,35.5381595229013,2300291,276463,10150,2586905,88.9205827040421,10.6870178843058,0.392360755420087,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,684941926a6a0cc794ac744bb3c22ee226bf7262892ebceb092e994f01c18c4f,1,1,false,false,winter storm,2010-11-13T15:00:00,2010-11-14T22:00:00,1860,1860,0,true,true,true,true,__MISSING__,false,false,false,60000,MRO,false,true,false,false,true
__MISSING__,7,2010,7,Minnesota,MN,MRO,East North Central,-0.9,cold,2010-07-17T00:00:00,20:30:00,2010-07-19T00:00:00,22:00:00,severe weather,tornadoes,__MISSING__,2970,__MISSING__,63000,11.41,9.11,6.71,9.12,2187537,2100828,2084709,6374935,34.3146557572744,32.9545007125563,32.701651075658,2300291,276463,10150,2586905,88.9205827040421,10.6870178843058,0.392360755420087,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,9ad557759c9103c8f56484bc7160691cfe88399d484ac504af3a979298afd7f4,1,1,false,false,tornadoes,2010-07-17T20:30:00,2010-07-19T22:00:00,2970,2970,0,true,true,true,true,__MISSING__,false,false,false,63000,MRO,false,true,false,false,true
__MISSING__,8,2005,6,Minnesota,MN,MRO,East North Central,0.2,normal,2005-06-08T00:00:00,04:00:00,2005-06-10T00:00:00,22:00:00,severe weather,thunderstorm,__MISSING__,3960,75,300000,9.1,7.22,5.69,7.36,1883344,1935444,1786652,5607498,33.5861733700128,34.5152864967584,31.861839273059,2211000,255645,8266,2474912,89.3365097425686,10.329458178715,0.333991673239291,52445,48090,1.09055936785194,2,3997,268496,1.48866277337465,2.1,5119598,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,8ae4b46940feac49ecc8bafb6ff5cfa5b0e1908751e0d76ee0516150b3af25c8,1,1,false,false,thunderstorm,2005-06-08T04:00:00,2005-06-10T22:00:00,3960,3960,0,true,true,true,true,75,true,true,false,300000,MRO,false,true,true,true,true
__MISSING__,9,2015,3,Minnesota,MN,MRO,East North Central,0.6,warm,2015-03-16T00:00:00,07:31:00,2015-03-16T00:00:00,10:06:00,intentional attack,sabotage,__MISSING__,155,20,5941,11.53,8.89,6.61,9.03,1844298,1956866,1795865,5599486,32.9369159955039,34.9472433719809,32.0719616050473,2374674,289044,9812,2673531,88.821637003648,10.8113203101067,0.367005282527115,54431,49844,1.09202712462884,1.7,4873,292023,1.66870417741068,2.2,5489594,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,65d8cafc214c1f10741a316c9748acdbd99e2bc8a52e23072f657363df57732e,1,1,false,false,sabotage,2015-03-16T07:31:00,2015-03-16T10:06:00,155,155,0,true,true,true,true,20,true,true,false,5941,MRO,false,true,true,true,true
__MISSING__,10,2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,2013-06-21T00:00:00,17:39:00,2013-06-24T00:00:00,06:00:00,severe weather,hailstorm,__MISSING__,3621,__MISSING__,400000,12.71,10.31,7.29,10,1688619,1895099,1905375,5490631,30.7545526188156,34.5151404273935,34.7022956013617,2329734,281187,11383,2622305,88.842983558358,10.7228945526931,0.434083754559443,52479,48396,1.08436647656831,1.7,5613,284542,1.97264375733635,2.3,5420541,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,f58c644dc3d8607b9f687bfe0ff5439404ad1558c0bdf3ac0bc462fdb1f9839c,1,1,false,false,hailstorm,2013-06-21T17:39:00,2013-06-24T06:00:00,3621,3621,0,true,true,true,true,__MISSING__,false,false,false,400000,MRO,false,true,false,false,true
