model_variant,enforce_joint_budget,lambda_risk,beta,feasible,termination_condition,provisioned_flexibility_mw,expansion_cost,expected_operating_cost,expected_planning_cost,value_at_risk,conditional_value_at_risk,cvar_cross_check_abs_error,objective,parameter_status,security_certified
correct_shared_budget,True,0.0,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,53500.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.0,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,33900.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.01,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,53736.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.01,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,33944.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.02,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,53972.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.02,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,33988.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.03,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,54208.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.03,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,34032.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.05,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,54680.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.05,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,34120.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.075,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,55270.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.075,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,34230.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.1,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,55860.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.1,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,34340.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.15,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,57040.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.15,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,34560.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.25,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,59400.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.25,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,35000.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.5,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,65300.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.5,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,36100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.75,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,71200.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.75,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,37200.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,1.0,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,77100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,1.0,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,38300.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,2.0,0.5,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,23600.0,0.0,100700.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,2.0,0.5,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4400.0,0.0,42700.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
