model_variant,enforce_joint_budget,lambda_risk,beta,feasible,termination_condition,provisioned_flexibility_mw,expansion_cost,expected_operating_cost,expected_planning_cost,value_at_risk,conditional_value_at_risk,cvar_cross_check_abs_error,objective,parameter_status,security_certified
correct_shared_budget,True,0.0,0.3,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,17828.571428571428,0.0,53500.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.0,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,33900.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.01,0.3,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,17828.571428571428,0.0,53678.28571428572,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.01,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,33941.142857142855,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.02,0.3,True,optimal,80.0,40000.0,13500.0,53500.0,3400.0,17828.571428571428,0.0,53856.57142857143,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.02,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,33982.28571428572,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.03,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,54023.42857142857,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.03,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,34023.42857142857,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.05,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,54105.71428571428,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.05,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,34105.71428571428,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.075,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,54208.57142857143,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.075,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,34208.57142857143,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.1,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,54311.42857142857,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.1,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,34311.42857142857,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.15,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,54517.142857142855,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.15,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,34517.142857142855,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.25,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,54928.57142857143,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.25,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,34928.57142857143,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.5,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,55957.142857142855,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.5,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,35957.142857142855,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,0.75,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,56985.71428571429,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,0.75,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,36985.71428571429,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,1.0,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,58014.28571428572,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,1.0,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,38014.28571428572,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
correct_shared_budget,True,2.0,0.3,True,optimal,100.0,50000.0,3900.0,53900.0,3400.0,4114.285714285715,0.0,62128.57142857143,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
b6_error_split_budget,False,2.0,0.3,True,optimal,60.0,30000.0,3900.0,33900.0,3400.0,4114.285714285715,0.0,42128.57142857143,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
