arm,network_method,policy,holdout_leaf,probability,committed_flexibility_mw,feasible,proven_hard_temporal_failure,solver_unresolved,service_shortfall_failure,right_censored,mw_budget_failure,minimum_event_power_failure,response_or_ramp_failure,duration_failure,event_count_or_rest_failure,energy_failure,recovery_debt_failure,terminal_boundary_failure,physical_violations_json,access_shortfall_mwh,peak_recovery_debt_mwh,terminal_recovery_debt_mwh,terminal_grid_call_mw,terminal_active_event_duration_hours,terminal_interevent_rest_hours,terminal_has_prior_event,maximum_event_duration_hours,event_count_by_period_json,curtailment_energy_mwh_by_period_json,scenario_loss,parameter_status,security_certified
manual,minimum_curtailment,correct,temporal_holdout_000,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],565.3087667960754,153.60000000000002,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":153.60000000000002}",571452.7667960754,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_001,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],455.139430453298,153.60000000000002,0.0,0.0,0.0,4.0,True,2.0,"{""q1"":1}","{""q1"":153.60000000000002}",461283.43045329803,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_002,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],108.69962327283244,57.4877628922701,0.0,0.0,0.0,4.0,True,1.0,"{""q1"":2}","{""q1"":112.36608365138446}",113194.26661888782,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_003,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],269.67132154403316,153.60000000000002,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":153.60000000000002}",275815.3215440332,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_004,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],640.5482951418371,153.60000000000002,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":153.60000000000002}",646692.2951418371,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_005,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],460.2086405739482,153.60000000000002,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":153.60000000000002}",466352.64057394816,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_000,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],638.9087667960754,40.0,0.0,0.0,0.0,4.0,True,1.0,"{""q1"":2}","{""q1"":80.0}",642108.7667960754,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_001,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],528.739430453298,40.0,0.0,0.0,0.0,4.0,True,1.0,"{""q1"":2}","{""q1"":80.0}",531939.430453298,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_002,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],141.0657069242169,40.0,0.0,0.0,0.0,4.0,True,1.0,"{""q1"":2}","{""q1"":80.0}",144265.7069242169,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_003,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],343.2713215440332,80.0,0.0,0.0,0.0,4.0,True,2.0,"{""q1"":1}","{""q1"":80.0}",346471.3215440332,rts_gmlc_cfe_deficit_temporal_mechanism_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|rts_gmlc_cfe_deficit_with_google_stress_not_empirical|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
