arm,network_method,policy,holdout_leaf,probability,committed_flexibility_mw,feasible,proven_hard_temporal_failure,solver_unresolved,service_shortfall_failure,right_censored,mw_budget_failure,minimum_event_power_failure,response_or_ramp_failure,duration_failure,event_count_or_rest_failure,energy_failure,recovery_debt_failure,terminal_boundary_failure,physical_violations_json,access_shortfall_mwh,peak_recovery_debt_mwh,terminal_recovery_debt_mwh,terminal_grid_call_mw,terminal_active_event_duration_hours,terminal_interevent_rest_hours,terminal_has_prior_event,maximum_event_duration_hours,event_count_by_period_json,curtailment_energy_mwh_by_period_json,scenario_loss,parameter_status,security_certified
manual,minimum_curtailment,correct,temporal_holdout_000,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],9.01912073940046,15.862291554599247,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":15.862291554599247}",9653.612401584429,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_001,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],14.037263435864835,18.261235268228276,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":18.261235268228276}",14767.712846593966,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_002,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],20.79710499290919,23.496503496503497,0.0,0.0,0.0,4.0,True,1.0,"{""q1"":2}","{""q1"":41.9311262164409}",22474.350041566824,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_003,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],15.237908944202651,19.488874761602034,0.0,0.0,0.0,4.0,True,2.0,"{""q1"":1}","{""q1"":19.488874761602034}",16017.463934666732,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_004,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],16.70935498068365,11.107046799354492,0.0,0.0,0.0,4.0,True,1.0,"{""q1"":2}","{""q1"":22.180448921707665}",17596.572937551955,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,correct,temporal_holdout_005,0.16666666666666666,76.80000000000001,True,False,False,True,False,False,False,False,False,False,False,False,False,[],14.66681011296396,17.17130422025527,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":17.17130422025527}",15353.66228177417,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_000,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],9.01912073940046,15.862291554599247,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":15.862291554599247}",9653.612401584429,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_001,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],14.037263435864835,18.261235268228276,0.0,0.0,0.0,6.0,True,2.0,"{""q1"":1}","{""q1"":18.261235268228276}",14767.712846593966,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_002,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],20.79710499290919,23.496503496503497,0.0,0.0,0.0,4.0,True,1.0,"{""q1"":2}","{""q1"":41.9311262164409}",22474.350041566824,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_003,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],15.237908944202651,19.488874761602034,0.0,0.0,0.0,4.0,True,2.0,"{""q1"":1}","{""q1"":19.488874761602034}",16017.463934666732,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
manual,minimum_curtailment,b6,temporal_holdout_004,0.16666666666666666,40.0,True,False,False,True,False,False,False,False,False,False,False,False,False,[],16.70935498068365,11.107046799354492,0.0,0.0,0.0,4.0,True,1.0,"{""q1"":2}","{""q1"":22.180448921707665}",17596.572937551955,trace_derived_temporal_mechanism_sensitivity_not_empirical|selected_n1_dc_derived_not_empirical_outage|continuous_hourly_profiles_derived_from_split_aware_trace_shapes_network_activation_is_a_threshold_stress_indicator_not_observed_outage_recovery_tail_and_headroom_are_synthetic_not_empirical_or_contract_evidence|trace_shapes_derived_not_empirical_outage_or_recovery|synthetic_duration_event_energy_recovery_sensitivity|fixed_policy_temporal_holdout_not_empirical,False
