policy,role,implementable,endpoint,leaf,leaf_probability,quarter,demand_mw,decision_group,firm_capacity_mw,conditional_capacity_mw,total_capacity_mw,connected_demand_mw,firm_demand_mw,active_conditional_demand_mw,access_shortfall_mw,project_start,project_start_quarter,project_available,normalization_label
B3,two_stage_root_commitment,True,minimum_x,delayed_lower__on_time,0.08333333333333333,q1,50.0,q1_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,True,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_lower__on_time,0.08333333333333333,q2,50.0,q2_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_lower__on_time,0.08333333333333333,q3,100.0,q3_g0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_lower__on_time,0.08333333333333333,q4,200.0,q4_g0,250.0,0.0,250.0,200.0,200.0,0.0,0.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_lower__delayed_one_quarter,0.08333333333333333,q1,50.0,q1_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,True,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_lower__delayed_one_quarter,0.08333333333333333,q2,50.0,q2_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_lower__delayed_one_quarter,0.08333333333333333,q3,100.0,q3_g0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_lower__delayed_one_quarter,0.08333333333333333,q4,200.0,q4_g0,250.0,0.0,250.0,200.0,200.0,0.0,0.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_upper__on_time,0.08333333333333333,q1,50.0,q1_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,True,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_upper__on_time,0.08333333333333333,q2,50.0,q2_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_upper__on_time,0.08333333333333333,q3,100.0,q3_g0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_upper__on_time,0.08333333333333333,q4,250.0,q4_g0,250.0,0.0,250.0,250.0,250.0,0.0,0.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_upper__delayed_one_quarter,0.08333333333333333,q1,50.0,q1_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,True,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_upper__delayed_one_quarter,0.08333333333333333,q2,50.0,q2_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_upper__delayed_one_quarter,0.08333333333333333,q3,100.0,q3_g0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,delayed_upper__delayed_one_quarter,0.08333333333333333,q4,250.0,q4_g0,250.0,0.0,250.0,250.0,250.0,0.0,0.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_lower__on_time,0.08333333333333333,q1,50.0,q1_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,True,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_lower__on_time,0.08333333333333333,q2,100.0,q2_g0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_lower__on_time,0.08333333333333333,q3,200.0,q3_g0,50.0,0.0,50.0,50.0,50.0,0.0,150.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_lower__on_time,0.08333333333333333,q4,200.0,q4_g0,250.0,0.0,250.0,200.0,200.0,0.0,0.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_lower__delayed_one_quarter,0.08333333333333333,q1,50.0,q1_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,True,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_lower__delayed_one_quarter,0.08333333333333333,q2,100.0,q2_g0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_lower__delayed_one_quarter,0.08333333333333333,q3,200.0,q3_g0,50.0,0.0,50.0,50.0,50.0,0.0,150.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_lower__delayed_one_quarter,0.08333333333333333,q4,200.0,q4_g0,250.0,0.0,250.0,200.0,200.0,0.0,0.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_upper__on_time,0.08333333333333333,q1,50.0,q1_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,True,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_upper__on_time,0.08333333333333333,q2,100.0,q2_g0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_upper__on_time,0.08333333333333333,q3,200.0,q3_g0,50.0,0.0,50.0,50.0,50.0,0.0,150.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_upper__on_time,0.08333333333333333,q4,250.0,q4_g0,250.0,0.0,250.0,250.0,250.0,0.0,0.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_upper__delayed_one_quarter,0.08333333333333333,q1,50.0,q1_g0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,True,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_upper__delayed_one_quarter,0.08333333333333333,q2,100.0,q2_g0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_upper__delayed_one_quarter,0.08333333333333333,q3,200.0,q3_g0,50.0,0.0,50.0,50.0,50.0,0.0,150.0,False,q1,False,minimum_expected_contract_then_minimum_x_non_economic_normalization
B3,two_stage_root_commitment,True,minimum_x,baseline_upper__delayed_one_quarter,0.08333333333333333,q4,250.0,q4_g0,250.0,0.0,250.0,250.0,250.0,0.0,0.0,False,q1,True,minimum_expected_contract_then_minimum_x_non_economic_normalization
