condition,timestamp,commitment_method,generator_index,bus,source_in_service,real_power_capable,committed,p_min_mw,p_max_mw,base_generation_mw,base_production_cost_usd_per_hour_exact,base_ac_generation_mw,base_ac_reactive_generation_mvar
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,0,1,True,True,False,16.0,20.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,1,1,True,True,False,16.0,20.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,2,1,True,True,True,15.2,76.0,15.2,460.00768768,20.884991980691915,-24.999820271285962
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,3,1,True,True,True,15.2,76.0,15.2,460.00768768,20.884991980691915,-24.999820271285962
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,4,2,True,True,False,16.0,20.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,5,2,True,True,False,16.0,20.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,6,2,True,True,True,15.2,76.0,15.2,460.00768768,20.890955318930548,-24.999828283341042
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,7,2,True,True,False,15.2,76.0,-0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,8,7,True,True,False,25.0,100.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,9,7,True,True,False,25.0,100.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,10,7,True,True,False,25.0,100.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,11,13,True,True,False,69.0,197.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,12,13,True,True,False,69.0,197.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,13,13,True,True,False,69.0,197.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,14,14,True,False,False,0.0,0.0,0.0,0.0,0.0,-49.99936113906126
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,15,15,True,True,False,2.4,12.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,16,15,True,True,False,2.4,12.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,17,15,True,True,False,2.4,12.0,0.0,0.0,0.0,0.0
minimum,2020-03-29T02:00:00,single_snapshot_static_unit_selection,18,15,True,True,False,2.4,12.0,0.0,0.0,0.0,0.0
