branch_index,from_bus,to_bus,flow_mw,rate_a_mw,loading_fraction
0,1,2,11.061630590026667,175.0,0.06320931765729523
1,1,3,-4.753336380228632,175.0,0.02716192217273504
2,1,5,69.6917057902021,175.0,0.3982383188011549
3,2,4,43.21937278667761,175.0,0.24696784449530063
4,2,6,54.84225780334878,175.0,0.3133843303048502
5,3,9,28.921048729044266,175.0,0.16526313559453867
6,3,24,-213.67438510927306,400.0,0.5341859627731826
7,4,9,-30.780627213322386,175.0,0.1758892983618422
8,5,10,-1.3082942097978754,175.0,0.0074759669131307166
9,6,10,-81.15774219665128,175.0,0.46375852683800733
10,7,8,46.22407234393471,175.0,0.26413755625105545
11,8,9,-72.49010375927145,175.0,0.414229164338694
12,8,10,-52.285823896793815,175.0,0.29877613655310753
13,9,11,-117.2401323946653,400.0,0.2931003309866632
14,9,12,-132.1095498488842,400.0,0.3302738746222105
15,10,11,-157.3683321232657,400.0,0.39342083030816427
16,10,12,-172.38352817997705,400.0,0.4309588204499426
17,11,13,-102.48561325638569,500.0,0.2049712265127714
18,11,14,-172.1228512615454,500.0,0.34424570252309084
19,12,13,-75.49043577442674,500.0,0.15098087154885348
20,12,23,-229.00264225443462,500.0,0.45800528450886924
21,13,23,-214.20012137474765,500.0,0.4284002427494953
22,14,16,-366.12285126154546,500.0,0.732245702523091
23,15,16,82.54046855254498,500.0,0.16508093710508995
24,15,21,-223.10742683090902,500.0,0.44621485366181807
25,15,21,-223.10742683090902,500.0,0.44621485366181807
26,15,24,213.67438510927306,500.0,0.4273487702185461
27,16,17,-320.7851463381822,500.0,0.6415702926763643
28,16,19,92.20276362918234,500.0,0.18440552725836468
29,17,18,-179.87307972631245,500.0,0.3597461594526249
30,17,22,-140.91206661186973,500.0,0.28182413322373945
31,18,21,-56.43653986315623,500.0,0.11287307972631246
32,18,21,-56.43653986315623,500.0,0.11287307972631246
33,19,20,-44.398618185408814,500.0,0.08879723637081763
34,19,20,-44.398618185408814,500.0,0.08879723637081763
35,20,23,-108.39861818540905,500.0,0.2167972363708181
36,20,23,-108.39861818540867,500.0,0.21679723637081733
37,21,22,-159.08793338813027,500.0,0.31817586677626053
