generator_index,bus,generation_mw,p_min_mw,p_max_mw
0,1,16.0,16.0,20.0
1,1,16.0,16.0,20.0
2,1,76.0,15.2,76.0
3,1,76.0,15.2,76.0
4,2,16.0,16.0,20.0
5,2,16.0,16.0,20.0
6,2,76.0,15.2,76.0
7,2,76.0,15.2,76.0
8,7,57.07469078131151,25.0,100.0
9,7,57.07469078131158,25.0,100.0
10,7,57.07469078131161,25.0,100.0
11,13,76.25864255202345,69.0,197.0
12,13,76.258642552022,69.0,197.0
13,13,76.25864255201921,69.0,197.0
14,14,0.0,0.0,0.0
15,15,2.4000000000000004,2.4,12.0
16,15,2.4000000000000004,2.4,12.0
17,15,2.3999999999999986,2.4,12.0
18,15,2.4,2.4,12.0
19,15,2.4000000000000004,2.4,12.0
20,15,155.0,54.3,155.0
21,16,155.0,54.3,155.0
22,18,400.0,100.0,400.0
23,21,400.0,100.0,400.0
24,22,50.0,10.0,50.0
25,22,50.0,10.0,50.0
26,22,50.0,10.0,50.0
27,22,50.0,10.0,50.0
28,22,50.0,10.0,50.0
29,22,50.0,10.0,50.0
30,23,155.0,54.3,155.0
31,23,155.0,54.3,155.0
32,23,350.0,140.0,350.0
