outaged_branch_index,from_bus,to_bus,feasible,termination_condition,connected_components,topology_connected,objective,max_balance_residual_mw,max_loading_fraction,max_loaded_branch_index,max_loaded_from_bus,max_loaded_to_bus,outaged_branch_flow_mw
0,1,2,True,optimal,1,True,61001.24031219139,1.7053025658242404e-12,0.7336983252163235,22,14,16,0.0
1,1,3,True,optimal,1,True,61001.240312191534,5.684341886080801e-13,0.7342634730456412,22,14,16,0.0
2,1,5,True,optimal,1,True,61001.24031219153,1.1368683772161603e-12,0.7438631609261804,22,14,16,0.0
3,2,4,True,optimal,1,True,61001.240312191265,5.684341886080801e-13,0.7347678416100821,22,14,16,0.0
4,2,6,True,optimal,1,True,61001.24031219136,1.2505552149377763e-12,0.7771428571428571,9,6,10,0.0
5,3,9,True,optimal,1,True,61001.24031219199,1.4779288903810084e-12,0.7503155244009261,22,14,16,0.0
6,3,24,True,optimal,1,True,61001.24031219838,1.5347723092418164e-12,0.9629590029053395,22,14,16,0.0
7,4,9,True,optimal,1,True,61001.240312191214,9.094947017729282e-13,0.7304494473206815,22,14,16,0.0
8,5,10,True,optimal,1,True,61001.2403121913,4.831690603168681e-13,0.7320276126908049,22,14,16,0.0
9,6,10,True,optimal,1,True,61001.240312191214,4.547473508864641e-13,0.7771428571428571,4,2,6,0.0
10,7,8,False,islanding,2,False,,,,,,,
11,8,9,True,optimal,1,True,61001.24031220073,4.547473508864641e-13,0.736959101904233,22,14,16,0.0
12,8,10,True,optimal,1,True,61001.240312195885,1.4779288903810084e-12,0.7288459982086998,22,14,16,0.0
13,9,11,True,optimal,1,True,61001.24031219372,3.410605131648481e-13,0.6723263469523373,22,14,16,0.0
14,9,12,True,optimal,1,True,61001.24031219746,5.229594535194337e-12,0.7487493334013944,22,14,16,0.0
15,10,11,True,optimal,1,True,61001.240312195514,2.1032064978498966e-12,0.6641822296261508,22,14,16,0.0
16,10,12,True,optimal,1,True,61001.24031219995,5.002220859751105e-12,0.7740996650304224,22,14,16,0.0
17,11,13,True,optimal,1,True,61001.240312204645,2.4158453015843406e-12,0.8091520126707807,22,14,16,0.0
18,11,14,True,optimal,1,True,61001.240312191345,1.8900436771218665e-12,0.6664201820820046,6,3,24,0.0
19,12,13,True,optimal,1,True,61001.24031219449,2.4158453015843406e-12,0.7205325443206501,22,14,16,0.0
20,12,23,True,optimal,1,True,61001.240312198,3.183231456205249e-12,0.8665978988271541,22,14,16,0.0
21,13,23,True,optimal,1,True,61001.24031218477,1.0373923942097463e-12,0.8888784402505137,22,14,16,0.0
22,14,16,True,optimal,1,True,61001.240312191985,1.4424017535930034e-12,0.8154616241768379,6,3,24,0.0
23,15,16,True,optimal,1,True,61001.24031218975,1.1954881529163686e-12,0.7735635069134895,27,16,17,0.0
24,15,21,True,optimal,1,True,61001.240312191825,4.945377440890297e-12,0.8319270698848651,27,16,17,0.0
25,15,21,True,optimal,1,True,61001.240312191825,4.945377440890297e-12,0.8319270698848651,27,16,17,0.0
26,15,24,True,optimal,1,True,61001.24031219844,1.4495071809506044e-12,0.9629590027041816,22,14,16,0.0
27,16,17,True,optimal,1,True,61001.24031218979,5.542233338928781e-13,0.7711421945126037,23,15,16,0.0
28,16,19,True,optimal,1,True,61001.24031218778,2.2737367544323206e-13,0.8660567923341285,22,14,16,0.0
29,17,18,True,optimal,1,True,61001.24031219075,2.1369572777985013e-12,0.7244876661561992,22,14,16,0.0
30,17,22,True,optimal,1,True,61001.24031219101,8.526512829121202e-13,0.7297979630294047,22,14,16,0.0
31,18,21,True,optimal,1,True,61001.24031219133,1.6484591469634324e-12,0.7315330931228406,22,14,16,0.0
32,18,21,True,optimal,1,True,61001.24031219129,2.8421709430404007e-13,0.7315330931228422,22,14,16,0.0
33,19,20,True,optimal,1,True,61001.240312191374,2.8421709430404007e-13,0.7197517197246317,22,14,16,0.0
34,19,20,True,optimal,1,True,61001.24031219138,1.2545520178264269e-12,0.719751719724632,22,14,16,0.0
35,20,23,True,optimal,1,True,61001.240312191825,5.115907697472721e-13,0.7148401784853204,22,14,16,0.0
36,20,23,True,optimal,1,True,61001.240312191825,5.115907697472721e-13,0.7148401784853204,22,14,16,0.0
37,21,22,True,optimal,1,True,61001.24031219145,1.0031975250512914e-12,0.7350091694028414,22,14,16,0.0
