redispatch_fraction_pmax,state,kind,element_index,response_mode,branch_rating,objective,max_balance_residual_mw,max_loading_fraction,max_loaded_branch_index,max_redispatch_mw,outaged_branch_flow_mw,outaged_generator_mw
0.1,base,base,,base,rate_a,76414.42157674432,1.7621459846850485e-12,0.6228571428571813,10,0.0,,
0.1,branch_0_immediate,branch,0,fixed,rate_c,76414.42157674432,1.3073986337985843e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_0_sustained,branch,0,bounded,rate_a,71830.69036913435,8.526512829121202e-13,0.5798640796253615,9,40.0,-0.0,
0.1,branch_1_immediate,branch,1,fixed,rate_c,76414.42157674432,1.8758328224066645e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_1_sustained,branch,1,bounded,rate_a,72098.32436963433,5.115907697472721e-13,0.5681267122932172,9,40.0,-0.0,
0.1,branch_2_immediate,branch,2,fixed,rate_c,76414.42157674432,1.4210854715202004e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_2_sustained,branch,2,bounded,rate_a,73264.15673213433,3.979039320256561e-13,0.5659628340137245,22,40.0,-0.0,
0.1,branch_3_immediate,branch,3,fixed,rate_c,76414.42157674432,2.0463630789890885e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_3_sustained,branch,3,bounded,rate_a,72098.32436963431,1.0800249583553523e-12,0.5652655585759238,22,40.0,-0.0,
0.1,branch_4_immediate,branch,4,fixed,rate_c,76414.42157674432,1.6484591469634324e-12,0.68,9,1.4210854715202004e-14,-0.0,
0.1,branch_4_sustained,branch,4,bounded,rate_a,72098.32436963431,1.1937117960769683e-12,0.7771428571428571,9,40.0,-0.0,
0.1,branch_5_immediate,branch,5,fixed,rate_c,76414.42157674432,1.3073986337985843e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_5_sustained,branch,5,bounded,rate_a,72098.32436963433,4.547473508864641e-13,0.5631422020856159,22,40.0,-0.0,
0.1,branch_6_immediate,branch,6,fixed,rate_c,76414.42157674432,2.0463630789890885e-12,0.5538065096539019,5,1.4210854715202004e-14,-0.0,
0.1,branch_6_sustained,branch,6,bounded,rate_a,72098.32436963433,1.4210854715202004e-12,0.7646295948435773,22,40.0,-0.0,
0.1,branch_7_immediate,branch,7,fixed,rate_c,76414.42157674432,1.8758328224066645e-12,0.5239359343746863,9,1.4210854715202004e-14,-0.0,
0.1,branch_7_sustained,branch,7,bounded,rate_a,71838.25299338433,6.252776074688882e-13,0.6359261021389754,9,40.0,-0.0,
0.1,branch_8_immediate,branch,8,fixed,rate_c,76414.42157674432,1.1119993814645568e-12,0.5041433938787615,9,1.4210854715202004e-14,-0.0,
0.1,branch_8_sustained,branch,8,bounded,rate_a,71838.25299338435,6.252776074688882e-13,0.6166762583716174,9,40.0,-0.0,
0.1,branch_9_immediate,branch,9,fixed,rate_c,76414.42157674432,1.4495071809506044e-12,0.6181818181818182,4,1.4210854715202004e-14,-0.0,
0.1,branch_9_sustained,branch,9,bounded,rate_a,72098.32436963431,2.2737367544323206e-12,0.7771428571428571,4,40.0,-0.0,
0.1,branch_11_immediate,branch,11,fixed,rate_c,76414.42157674432,1.3073986337985843e-12,0.4954545454545761,10,0.0,-0.0,
0.1,branch_11_sustained,branch,11,bounded,rate_a,71830.69036913435,1.4210854715202004e-12,0.5773083349330672,22,40.0,-0.0,
0.1,branch_12_immediate,branch,12,fixed,rate_c,76414.42157674432,3.0127011996228248e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_12_sustained,branch,12,bounded,rate_a,71838.25299338435,3.552713678800501e-12,0.5784270773668808,9,40.0,-0.0,
0.1,branch_13_immediate,branch,13,fixed,rate_c,76414.42157674432,1.2505552149377763e-12,0.5036192061960658,9,1.4210854715202004e-14,-0.0,
0.1,branch_13_sustained,branch,13,bounded,rate_a,71830.69036913435,1.6484591469634324e-12,0.6046020601484259,9,40.0,-0.0,
0.1,branch_14_immediate,branch,14,fixed,rate_c,76414.42157674432,4.035882739117369e-12,0.5180237226562984,9,1.4210854715202004e-14,-0.0,
0.1,branch_14_sustained,branch,14,bounded,rate_a,71838.25299338439,4.348521542851813e-12,0.6220037469886679,16,40.0,-0.0,
0.1,branch_15_immediate,branch,15,fixed,rate_c,76414.42157674432,1.5916157281026244e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_15_sustained,branch,15,bounded,rate_a,71838.25299338439,5.9117155615240335e-12,0.7141595840360887,16,40.0,-0.0,
0.1,branch_16_immediate,branch,16,fixed,rate_c,76414.42157674432,2.3590018827235326e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_16_sustained,branch,16,bounded,rate_a,71838.25299338432,9.094947017729282e-13,0.6895838983668401,15,40.0,-0.0,
0.1,branch_17_immediate,branch,17,fixed,rate_c,76414.42157674432,1.3073986337985843e-12,0.5247140416859357,22,1.4210854715202004e-14,-0.0,
0.1,branch_17_sustained,branch,17,bounded,rate_a,72098.32436963433,1.0231815394945443e-12,0.7141429612109933,22,40.0,-0.0,
0.1,branch_18_immediate,branch,18,fixed,rate_c,76414.42157674432,1.2505552149377763e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_18_sustained,branch,18,bounded,rate_a,71838.25299338433,6.252776074688882e-13,0.5434586938057698,6,40.0,-0.0,
0.1,branch_19_immediate,branch,19,fixed,rate_c,76414.42157674432,1.7621459846850485e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_19_sustained,branch,19,bounded,rate_a,71838.25299338433,3.410605131648481e-13,0.5681806758886185,17,40.0,-0.0,
0.1,branch_20_immediate,branch,20,fixed,rate_c,76414.42157674432,1.2363443602225743e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_20_sustained,branch,20,bounded,rate_a,71838.2529933843,3.524291969370097e-12,0.6880671875140778,22,40.0,-0.0,
0.1,branch_21_immediate,branch,21,fixed,rate_c,76414.42157674432,1.8829382497642655e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_21_sustained,branch,21,bounded,rate_a,71838.25299338433,5.115907697472721e-13,0.675102153606927,22,40.0,-0.0,
0.1,branch_22_immediate,branch,22,fixed,rate_c,76414.42157674432,1.4779288903810084e-12,0.5403820208450051,17,1.4210854715202004e-14,-0.0,
0.1,branch_22_sustained,branch,22,bounded,rate_a,72098.32436963431,1.4779288903810084e-12,0.6855538715943467,17,40.0,-0.0,
0.1,branch_23_immediate,branch,23,fixed,rate_c,76414.42157674432,6.0396132539608516e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_23_sustained,branch,23,bounded,rate_a,72056.64333678439,1.7905676941154525e-12,0.5685993756716198,22,40.0,-0.0,
0.1,branch_24_immediate,branch,24,fixed,rate_c,76414.42157674432,1.4210854715202004e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_24_sustained,branch,24,bounded,rate_a,71838.25299338433,1.8758328224066645e-12,0.6821509345926332,27,40.0,-0.0,
0.1,branch_25_immediate,branch,25,fixed,rate_c,76414.42157674432,1.4210854715202004e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_25_sustained,branch,25,bounded,rate_a,71838.25299338433,1.8758328224066645e-12,0.6821509345926332,27,40.0,-0.0,
0.1,branch_26_immediate,branch,26,fixed,rate_c,76414.42157674432,2.1032064978498966e-12,0.553806509653902,5,1.4210854715202004e-14,-0.0,
0.1,branch_26_sustained,branch,26,bounded,rate_a,71996.70924410432,1.9610979506978765e-12,0.7961769792284412,22,40.0,-0.0,
0.1,branch_27_immediate,branch,27,fixed,rate_c,76414.42157674432,1.1652900866465643e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_27_sustained,branch,27,bounded,rate_a,76083.28759975432,2.7569058147491887e-12,0.5606331157143395,9,40.0,-0.0,
0.1,branch_28_immediate,branch,28,fixed,rate_c,76414.42157674432,8.526512829121202e-13,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_28_sustained,branch,28,bounded,rate_a,71838.25299338427,2.0179413695586845e-12,0.5959006267933348,22,40.0,-0.0,
0.1,branch_29_immediate,branch,29,fixed,rate_c,76414.42157674432,6.252776074688882e-13,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_29_sustained,branch,29,bounded,rate_a,77231.29787758435,4.547473508864641e-13,0.5682782826202442,9,40.0,-0.0,
0.1,branch_30_immediate,branch,30,fixed,rate_c,76414.42157674432,1.9326762412674725e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_30_sustained,branch,30,bounded,rate_a,71830.69036913438,2.0463630789890885e-12,0.6,37,40.0,-0.0,
0.1,branch_31_immediate,branch,31,fixed,rate_c,76414.42157674432,6.764366844436154e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_31_sustained,branch,31,bounded,rate_a,71838.25299338433,3.979039320256561e-13,0.5729728771821736,22,40.0,-0.0,
0.1,branch_32_immediate,branch,32,fixed,rate_c,76414.42157674432,2.0037305148434825e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_32_sustained,branch,32,bounded,rate_a,71838.25299338433,3.979039320256561e-13,0.5729728771821736,22,40.0,-0.0,
0.1,branch_33_immediate,branch,33,fixed,rate_c,76414.42157674432,2.0179413695586845e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_33_sustained,branch,33,bounded,rate_a,71838.25299338436,7.958078640513122e-13,0.5597831756176872,9,40.0,-0.0,
0.1,branch_34_immediate,branch,34,fixed,rate_c,76414.42157674432,2.0179413695586845e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_34_sustained,branch,34,bounded,rate_a,71830.69036913436,7.958078640513122e-13,0.5597831756176872,9,40.0,-0.0,
0.1,branch_35_immediate,branch,35,fixed,rate_c,76414.42157674432,2.2737367544323206e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_35_sustained,branch,35,bounded,rate_a,71838.25299338436,1.0231815394945443e-12,0.5598134943315963,9,40.0,-0.0,
0.1,branch_36_immediate,branch,36,fixed,rate_c,76414.42157674432,2.2737367544323206e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_36_sustained,branch,36,bounded,rate_a,71838.25299338436,1.0231815394945443e-12,0.5598134943315963,9,40.0,-0.0,
0.1,branch_37_immediate,branch,37,fixed,rate_c,76414.42157674432,4.177991286269389e-12,0.495454545454576,10,1.4210854715202004e-14,-0.0,
0.1,branch_37_sustained,branch,37,bounded,rate_a,71838.2529933843,2.2737367544323206e-12,0.6107962933459486,27,40.0,-0.0,
0.1,generator_0_sustained,generator,0,bounded,rate_a,69592.48569338433,1.1937117960769683e-12,0.5792227893468007,22,40.0,,0.0
0.1,generator_1_sustained,generator,1,bounded,rate_a,69592.48569338433,1.1937117960769683e-12,0.5792227893468007,22,40.0,,0.0
0.1,generator_2_sustained,generator,2,bounded,rate_a,71647.29088750425,2.4442670110147446e-12,0.6208414138672842,9,40.0,,0.0
0.1,generator_3_sustained,generator,3,bounded,rate_a,71490.86450538425,8.29913915367797e-12,0.6212203268110296,9,40.0,,0.0
0.1,generator_4_sustained,generator,4,bounded,rate_a,69590.19218913432,3.0127011996228248e-12,0.5793420622387274,22,40.0,,0.0
0.1,generator_5_sustained,generator,5,bounded,rate_a,71026.6756929043,2.8848035071860068e-12,0.5777620121560892,9,40.0,,0.0
0.1,generator_6_sustained,generator,6,bounded,rate_a,72925.34447282432,2.4442670110147446e-12,0.6342432046787415,9,40.0,,0.0
0.1,generator_7_sustained,generator,7,bounded,rate_a,72925.34447282432,2.4442670110147446e-12,0.6342432046787415,9,40.0,,0.0
0.1,generator_8_sustained,generator,8,bounded,rate_a,70392.54561772784,1.7621459846850485e-12,0.5857206663254746,22,40.0,,0.0
0.1,generator_9_sustained,generator,9,bounded,rate_a,68832.57061695025,1.1937117960769683e-12,0.6198276897752919,22,40.0,,0.0
0.1,generator_10_sustained,generator,10,bounded,rate_a,71735.42563320938,1.1937117960769683e-12,0.5713775525667049,22,40.0,,0.0
0.1,generator_11_sustained,generator,11,bounded,rate_a,68085.51321758445,1.5916157281026244e-12,0.6368446209586064,22,40.0,,0.0
0.1,generator_12_sustained,generator,12,bounded,rate_a,68568.74858138425,7.23332505003782e-12,0.6256568080000753,22,40.0,,0.0
0.1,generator_13_sustained,generator,13,bounded,rate_a,68085.51321758445,1.5916157281026244e-12,0.6368446209586064,22,40.0,,0.0
0.1,generator_15_sustained,generator,15,bounded,rate_a,71649.18789738433,1.3073986337985843e-12,0.5727971004853976,22,40.0,,0.0
0.1,generator_16_sustained,generator,16,bounded,rate_a,71754.70527306432,2.2737367544323206e-12,0.5867934745841699,22,40.0,,0.0
0.1,generator_17_sustained,generator,17,bounded,rate_a,71649.18789738431,1.8189894035458565e-12,0.5727971004853971,22,40.0,,0.0
0.1,generator_18_sustained,generator,18,bounded,rate_a,71754.7052730643,4.121147867408581e-12,0.5760179229399873,22,40.0,,0.0
0.1,generator_19_sustained,generator,19,bounded,rate_a,71649.18789738433,1.3073986337985843e-12,0.5727971004853976,22,40.0,,0.0
0.1,generator_20_sustained,generator,20,bounded,rate_a,74116.72890278442,1.2505552149377763e-12,0.5666275574236099,9,40.0,,0.0
0.1,generator_21_sustained,generator,21,bounded,rate_a,74072.7239787844,1.1937117960769683e-12,0.5630370939550714,9,40.0,,0.0
0.1,generator_22_sustained,generator,22,bounded,rate_a,82842.90008151432,1.1084466677857563e-12,0.7942857142857526,10,40.0,,0.0
0.1,generator_23_sustained,generator,23,bounded,rate_a,82842.90008151432,2.5579538487363607e-13,0.7942857142857526,10,40.0,,0.0
0.1,generator_24_sustained,generator,24,bounded,rate_a,73464.51596838448,1.2221335055073723e-12,0.5611052114708374,9,40.0,,0.0
