stage,contingency_kind,element_index,from_bus,to_bus,generator_bus,redispatch_fraction_pmax,parameter_status,branch_rating,feasible,termination_condition,topology_connected,max_balance_residual_mw,max_loading_fraction,max_loaded_branch_index,max_redispatch_mw,outaged_element_flow_or_generation_mw
immediate_post_contingency,branch,0,1,2,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,3.694822225952521e-13,0.5869586602532819,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,1,1,3,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,5.684341886080801e-13,0.5874107786655107,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,2,1,5,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,1.0231815394945443e-12,0.5950905289279328,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,3,2,4,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,5.542233338928781e-13,0.5878142733061408,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,4,2,6,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,4.547473508864641e-13,0.68,9,8.881784197001252e-16,0.0
immediate_post_contingency,branch,5,3,9,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,9.947598300641403e-13,0.6002524207548354,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,6,3,24,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,5.684341886080801e-13,0.7703672242865758,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,7,4,9,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.958078640513122e-13,0.5843595578473021,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,8,5,10,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,6.821210263296962e-13,0.5856220901361184,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,9,6,10,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,5.684341886080801e-13,0.6181818181818182,4,8.881784197001252e-16,0.0
immediate_post_contingency,branch,10,7,8,,0.0,rating_available_response_dynamics_not_modeled,rate_c,False,islanding,False,,,,,
immediate_post_contingency,branch,11,8,9,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,2.8421709430404007e-13,0.5895672961812263,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,12,8,10,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,5.400124791776761e-13,0.5830767984621931,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,13,9,11,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,5.684341886080801e-13,0.5378610722799972,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,14,9,12,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.105427357601002e-13,0.5989994763223955,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,15,10,11,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.673861546209082e-13,0.5313457762941735,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,16,10,12,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.958078640513122e-13,0.6192797516645309,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,17,11,13,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,2.8421709430404007e-13,0.6473217195316412,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,18,11,14,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.247535904753022e-13,0.4972233300629425,27,8.881784197001252e-16,0.0
immediate_post_contingency,branch,19,12,13,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,2.6716406864579767e-12,0.5764260328075983,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,20,12,23,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,5.968558980384842e-13,0.6932783300940029,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,21,13,23,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,6.821210263296962e-13,0.7111027735446858,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,22,14,16,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.389644451905042e-13,0.5736997954299444,21,8.881784197001252e-16,0.0
immediate_post_contingency,branch,23,15,16,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,3.979039320256561e-13,0.6188508122384443,27,8.881784197001252e-16,0.0
immediate_post_contingency,branch,24,15,21,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.389644451905042e-13,0.6655416555942376,27,8.881784197001252e-16,0.0
immediate_post_contingency,branch,25,15,21,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.389644451905042e-13,0.6655416555942376,27,8.881784197001252e-16,0.0
immediate_post_contingency,branch,26,15,24,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,5.684341886080801e-13,0.7703672242865758,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,27,16,17,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,2.1032064978498966e-12,0.6169137631496986,23,8.881784197001252e-16,0.0
immediate_post_contingency,branch,28,16,19,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,7.105427357601002e-13,0.6928454469707427,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,29,17,18,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,6.821210263296962e-13,0.5795901325700265,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,30,17,22,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,1.7905676941154525e-12,0.5838383701380124,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,31,18,21,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,6.252776074688882e-13,0.5852264744790314,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,32,18,21,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,6.252776074688882e-13,0.5852264744790314,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,33,19,20,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,1.1084466677857563e-12,0.5758013758239291,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,34,19,20,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,1.1084466677857563e-12,0.5758013758239291,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,35,20,23,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,4.831690603168681e-13,0.5718721431657064,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,36,20,23,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,4.831690603168681e-13,0.5718721431657064,22,8.881784197001252e-16,0.0
immediate_post_contingency,branch,37,21,22,,0.0,rating_available_response_dynamics_not_modeled,rate_c,True,optimal,True,2.7853275241795927e-12,0.5880073357792306,22,8.881784197001252e-16,0.0
sustained_post_response,branch,0,1,2,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,3.694822225952521e-13,0.7336983253166024,22,8.881784197001252e-16,0.0
sustained_post_response,branch,1,1,3,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,5.684341886080801e-13,0.7342634733318885,22,8.881784197001252e-16,0.0
sustained_post_response,branch,2,1,5,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,3.979039320256561e-13,0.7438631611599158,22,8.881784197001252e-16,0.0
sustained_post_response,branch,3,2,4,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,5.542233338928781e-13,0.7347678416326759,22,8.881784197001252e-16,0.0
sustained_post_response,branch,4,2,6,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,4.547473508864641e-13,0.7771428571428571,9,8.881784197001252e-16,0.0
sustained_post_response,branch,5,3,9,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,9.947598300641403e-13,0.7503155259435443,22,8.881784197001252e-16,0.0
sustained_post_response,branch,6,3,24,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,5.684341886080801e-13,0.9629590303582197,22,8.881784197001252e-16,0.0
sustained_post_response,branch,7,4,9,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,7.958078640513122e-13,0.7304494473091276,22,8.881784197001252e-16,0.0
sustained_post_response,branch,8,5,10,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,6.821210263296962e-13,0.732027612670148,22,8.881784197001252e-16,0.0
sustained_post_response,branch,9,6,10,,0.0,synthetic_sensitivity_not_for_certification,rate_a,True,optimal,True,5.684341886080801e-13,0.7771428571428571,4,8.881784197001252e-16,0.0
