planning_parameter_status,connected_capacity_interpretation,quarter,state,kind,element_index,response_mode,branch_rating,project_commissioned,connected_capacity_mw,state_generation_cost_original_quadratic_evaluation_synthetic_units_per_hour,max_balance_residual_mw,max_loading_fraction,max_loaded_branch_index,outaged_branch_indices,max_outaged_branch_flow_mw,outaged_generator_indices,max_outaged_generator_output_mw,max_generator_lower_bound_violation_mw,max_generator_upper_bound_violation_mw,max_generator_bound_violation_mw,max_corrective_response_violation_mw,power_tolerance_mw,loading_tolerance_fraction,dc_constraints_satisfied,security_certified
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,base,base,,base,rate_a,False,50.0,48720.203590244295,3.8525797663169215e-08,0.7770848913391426,22,,0.0,,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_0_immediate,branch,0,fixed,rate_c,False,50.0,48720.20359042126,5.115907697472721e-13,0.6240107705954774,22,0,0.0,,0.0,0.0,0.0,0.0,1.9360300029802602e-08,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_0_sustained,branch,0,bounded,rate_a,False,50.0,62198.82597903095,5.684341886080801e-13,0.6628776971722696,11,0,0.0,,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_1_immediate,branch,1,fixed,rate_c,False,50.0,48720.20359042126,1.2505552149377763e-12,0.6416067638776789,22,1,0.0,,0.0,0.0,0.0,0.0,1.9360300029802602e-08,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_1_sustained,branch,1,bounded,rate_a,False,50.0,50300.60035342674,3.979039320256561e-13,0.7219145959765577,22,1,0.0,,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_2_immediate,branch,2,fixed,rate_c,False,50.0,48720.20359042126,2.8421709430404007e-13,0.6233232174275996,22,2,0.0,,0.0,0.0,0.0,0.0,1.9360300029802602e-08,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_2_sustained,branch,2,bounded,rate_a,False,50.0,50300.60035342672,3.410605131648481e-13,0.7010289075464733,22,2,0.0,,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_3_immediate,branch,3,fixed,rate_c,False,50.0,48720.20359042126,1.8189894035458565e-12,0.6213704440541507,22,3,0.0,,0.0,0.0,0.0,0.0,1.9360300029802602e-08,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_3_sustained,branch,3,bounded,rate_a,False,50.0,59445.35415297922,1.1937117960769683e-12,0.6748697951471132,11,3,0.0,,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,1e-06,1e-06,True,False
synthetic_benchmark_not_site_evidence,firm_connected_and_operating_demand_capped_by_quarter_request,q1,branch_4_immediate,branch,4,fixed,rate_c,False,50.0,48720.20359042126,2.8421709430404007e-13,0.6230556240992681,22,4,0.0,,0.0,0.0,0.0,0.0,1.9360300029802602e-08,1e-06,1e-06,True,False
