planning_parameter_status,fixed_plan_parameter_status,service_parameter_status,quarter,layer,state,response_mode,generator_index,bus,outaged,in_service,p_min_mw,p_max_mw,layer_base_generation_mw,state_generation_mw,change_from_layer_base_mw,response_applicable,redispatch_up_limit_mw,redispatch_down_limit_mw,generator_bound_violation_mw,corrective_response_violation_mw,termination_condition,security_certified
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,0,1,False,True,16.0,20.0,16.0,16.0,0.0,False,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,1,1,False,True,16.0,20.0,16.0,16.0,0.0,False,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,2,1,False,True,15.2,76.0,15.2,15.2,0.0,False,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,3,1,False,True,15.2,76.0,15.2,15.2,0.0,False,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,4,2,False,True,16.0,20.0,16.0,16.0,0.0,False,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,5,2,False,True,16.0,20.0,16.0,16.0,0.0,False,10.0,10.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,6,2,False,True,15.2,76.0,15.2,15.2,0.0,False,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,7,2,False,True,15.2,76.0,15.2,15.2,0.0,False,38.0,38.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,8,7,False,True,25.0,100.0,25.0,25.0,0.0,False,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,9,7,False,True,25.0,100.0,25.0,25.0,0.0,False,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,10,7,False,True,25.0,100.0,25.0,25.0,0.0,False,50.0,50.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,11,13,False,True,69.0,197.0,69.0,69.0,0.0,False,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,12,13,False,True,69.0,197.0,69.0,69.0,0.0,False,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,13,13,False,True,69.0,197.0,69.0,69.0,0.0,False,98.5,98.5,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,14,14,False,True,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,15,15,False,True,2.4,12.0,2.4,2.4,0.0,False,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,16,15,False,True,2.4,12.0,2.4,2.4,0.0,False,6.0,6.0,0.0,0.0,optimal,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,base,base,17,15,False,True,2.4,12.0,2.4,2.4,0.0,False,6.0,6.0,0.0,0.0,optimal,False
