planning_parameter_status,fixed_plan_parameter_status,service_parameter_status,quarter,layer,poi_load_basis,state,kind,element_index,response_mode,branch_rating,firm_capacity_mw,conditional_capacity_mw,total_capacity_mw,data_center_demand_mw,connected_demand_mw,firm_demand_mw,active_conditional_demand_mw,access_shortfall_mw,grid_curtailment_mw,firm_breach_mw,conditional_breach_mw,breach_diagnostics_enabled,poi_load_mw,service_floor_mw,call_limit_mw,service_balance_residual_mw,service_floor_violation_mw,call_limit_violation_mw,pre_response_call_violation_mw,max_balance_residual_mw,max_loading_fraction,max_loaded_branch_index,max_outaged_branch_flow_mw,max_outaged_generator_output_mw,max_generator_bound_violation_mw,max_corrective_response_violation_mw,constraints_satisfied,security_certified
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,base,base,,base,rate_a,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.7770848845730554,22,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_0_immediate,branch,0,fixed,rate_c,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,1.2221335055073723e-12,0.6240107651534395,22,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_0_sustained,branch,0,bounded,rate_a,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,3.694822225952521e-13,0.7020274343608727,22,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_1_immediate,branch,1,fixed,rate_c,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.641606758265985,22,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_1_sustained,branch,1,bounded,rate_a,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,6.252776074688882e-13,0.755944086122085,22,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_2_immediate,branch,2,fixed,rate_c,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,5.343281372915953e-12,0.6233232119743652,22,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_2_sustained,branch,2,bounded,rate_a,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.7010288903475681,22,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_3_immediate,branch,3,fixed,rate_c,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.6213704386375597,22,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_3_sustained,branch,3,bounded,rate_a,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,5.115907697472721e-13,0.699657611029007,27,0.0,0.0,0.0,0.0,True,False
synthetic_benchmark_not_site_evidence,synthetic_fixed_policy_mechanism_test_not_optimized,synthetic_mw_only_envelope_not_contract_evidence,q1,actual,actual_connected_demand,branch_4_immediate,branch,4,fixed,rate_c,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-12,0.6230556186668292,22,0.0,0.0,0.0,0.0,True,False
