timestamp,branch_uid,from_bus,to_bus,flow_mw,continuous_rating_mw,loading_fraction
2020-01-01T00:00:00+00:00,A1,101,102,20.462548663,175,0.11692885
2020-01-01T00:00:00+00:00,A10,106,110,-18.370689376,175,0.104975368
2020-01-01T00:00:00+00:00,A11,107,108,-21.333273499,175,0.12190442
2020-01-01T00:00:00+00:00,A12-1,108,109,-135.280979529,175,0.773034169
2020-01-01T00:00:00+00:00,A13-2,108,110,-118.257648169,175,0.67575799
2020-01-01T00:00:00+00:00,A14,109,111,-73.313769388,400,0.183284423
2020-01-01T00:00:00+00:00,A15,109,112,-48.126796527,400,0.120316991
2020-01-01T00:00:00+00:00,A16,110,111,-107.341742927,400,0.268354357
2020-01-01T00:00:00+00:00,A17,110,112,-81.782548791,400,0.204456372
2020-01-01T00:00:00+00:00,A18,111,113,25.885898559,500,0.051771797
2020-01-01T00:00:00+00:00,A19,111,114,-206.541410874,500,0.413082822
2020-01-01T00:00:00+00:00,A2,101,103,-37.228840905,175,0.212736234
2020-01-01T00:00:00+00:00,A20,112,113,-19.513620024,500,0.03902724
2020-01-01T00:00:00+00:00,A21,112,123,-110.395725294,500,0.220791451
2020-01-01T00:00:00+00:00,A22,113,123,-112.318753935,500,0.224637508
2020-01-01T00:00:00+00:00,A23,114,116,-273.591880939,500,0.547183762
2020-01-01T00:00:00+00:00,A24,115,116,199.962795767,500,0.399925592
2020-01-01T00:00:00+00:00,A25-1,115,121,-214.280875695,500,0.428561751
2020-01-01T00:00:00+00:00,A25-2,115,121,-214.280875695,500,0.428561751
2020-01-01T00:00:00+00:00,A26,115,124,181.037105053,500,0.36207421
2020-01-01T00:00:00+00:00,A27,116,117,-392.734987352,500,0.785469975
2020-01-01T00:00:00+00:00,A28,116,119,346.543804207,500,0.693087608
2020-01-01T00:00:00+00:00,A29,117,118,-81.178797954,500,0.162357596
2020-01-01T00:00:00+00:00,A3,101,105,39.439226432,175,0.225367008
2020-01-01T00:00:00+00:00,A30,117,122,-311.556189399,500,0.623112379
2020-01-01T00:00:00+00:00,A31-1,118,121,-98.1352921,500,0.196270584
2020-01-01T00:00:00+00:00,A31-2,118,121,-98.1352921,500,0.196270584
2020-01-01T00:00:00+00:00,A32-1,119,120,141.993203439,500,0.283986407
2020-01-01T00:00:00+00:00,A32-2,119,120,141.993203439,500,0.283986407
2020-01-01T00:00:00+00:00,A33-1,120,123,119.873460737,500,0.239746921
2020-01-01T00:00:00+00:00,A33-2,120,123,119.873460737,500,0.239746921
2020-01-01T00:00:00+00:00,A34,121,122,-426.843810601,500,0.853687621
2020-01-01T00:00:00+00:00,A4,102,104,18.303549765,175,0.104591713
2020-01-01T00:00:00+00:00,A5,102,106,28.633763865,175,0.163621508
2020-01-01T00:00:00+00:00,A6,103,109,81.596487799,175,0.466265645
2020-01-01T00:00:00+00:00,A7,103,124,-181.037105053,400,0.452592763
2020-01-01T00:00:00+00:00,A8,104,109,-7.272402734,175,0.041556587
2020-01-01T00:00:00+00:00,A9,105,110,14.900136872,175,0.085143639
2020-01-01T00:00:00+00:00,AB1,107,203,-21.869348966,175,0.124967708
2020-01-01T00:00:00+00:00,AB2,113,215,127.101472845,500,0.254202946
2020-01-01T00:00:00+00:00,AB3,123,217,219.032442244,500,0.438064884
2020-01-01T00:00:00+00:00,B1,201,202,-3.409772017,175,0.019484412
2020-01-01T00:00:00+00:00,B10,206,210,-39.800782474,175,0.227433043
2020-01-01T00:00:00+00:00,B11,207,208,-48.362978114,175,0.276359875
