candidate_order,candidate_id,dc_bus,bus_name,power_factor_case,data_center_power_factor,hour_index,timestamp,state_order,state_id,kind,element_uid,response_mode,branch_rating,data_center_power_mw,data_center_reactive_demand_mvar,native_reactive_demand_mvar,hvdc_dc1_flow_mw,dc_flow_reconstruction_residual_mw,evaluated,converged,secure,status,min_voltage_pu,min_voltage_bus,max_voltage_pu,max_voltage_bus,max_voltage_violation_pu,max_branch_loading_fraction,max_loaded_branch_uid,max_active_power_violation_mw,max_active_power_violation_generator_uid,max_reactive_power_violation_mvar,max_reactive_power_violation_generator_uid,max_non_slack_pg_deviation_mw,reference_bus,reference_generator_uid,active_generator_count,requested_generation_mw,ac_generation_mw,slack_and_loss_adjustment_mw
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,0,normal,normal,,base,continuous,173.104166667,0,679.176313276,-99.999999999,0.000000002,true,true,false,constraint_violation,0.987683476,307,1.087975144,210,0.037975144,0.967804843,C6,0,101_STEAM_3,52.525146717,314_SYNC_COND_1,0,123,123_STEAM_3,100,3510.436050866,3622.373097592,111.937046726
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,1,branch_A11_immediate,branch,A11,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.987427807,307,1.087795564,210,0.037795564,0.806780935,A10,0,101_STEAM_3,52.177931241,314_SYNC_COND_1,0,123,123_STEAM_3,100,3510.436050866,3622.726712255,112.290661389
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,2,branch_A11_sustained,branch,A11,bounded,continuous,173.104166667,0,679.176313276,-99.999999999,0,true,true,false,constraint_violation,0.940861713,307,1.088045733,210,0.038045733,0.966563479,CA-1,0,101_STEAM_3,180.820892631,316_STEAM_1,0,303,303_WIND_1,100,3510.436050867,3616.440891837,106.00484097
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,3,branch_A12-1_immediate,branch,A12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.987588552,307,1.087809524,210,0.037809524,0.800423656,A10,0,101_STEAM_3,52.397270905,314_SYNC_COND_1,0,123,123_STEAM_3,100,3510.436050866,3623.897265265,113.461214399
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,4,branch_A12-1_sustained,branch,A12-1,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.973483318,307,1.085507499,210,0.035507499,1.021838838,C6,0,101_STEAM_3,324.564336315,317_WIND_1,0,317,317_WIND_1,100,3510.436050867,3590.977868054,80.541817187
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,5,branch_A34_immediate,branch,A34,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.987915268,307,1.088029558,210,0.038029558,1.021973473,A30,0,101_STEAM_3,95.6973741,116_STEAM_1,0,123,123_STEAM_3,100,3510.436050866,3654.277491568,143.841440702
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,6,branch_A34_sustained,branch,A34,bounded,continuous,173.104166667,0,679.176313276,88.763895844,0.000000001,true,true,false,constraint_violation,0.9596167,307,1.085569433,210,0.035569433,1.007799743,A30,0,101_STEAM_3,359.259175142,316_STEAM_1,0,317,317_WIND_1,100,3510.436050867,3643.685791575,133.249740708
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,7,branch_B12-1_immediate,branch,B12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.959964424,207,1.076656111,210,0.026656111,0.802324248,A10,0,101_STEAM_3,52.498103247,314_SYNC_COND_1,0,123,123_STEAM_3,100,3510.436050866,3626.18129337,115.745242504
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,8,branch_B12-1_sustained,branch,B12-1,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.956282787,207,1.073594317,210,0.023594317,1.010629949,C6,0,101_STEAM_3,32.926002843,316_STEAM_1,0,122,122_WIND_1,100,3510.436050866,3584.847607271,74.411556405
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,9,branch_B22_immediate,branch,B22,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.987882582,307,1.082244848,210,0.032244848,0.80061203,A10,0,101_STEAM_3,52.787798928,314_SYNC_COND_1,0,123,123_STEAM_3,100,3510.436050866,3628.325882328,117.889831462
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,10,branch_B22_sustained,branch,B22,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.961364767,307,1.082615209,210,0.032615209,0.977498573,CA-1,0,101_STEAM_3,360.034771555,316_STEAM_1,0,317,317_WIND_1,100,3510.436050867,3627.082432852,116.646381985
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,11,branch_B6_immediate,branch,B6,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.987635406,307,1.089515219,210,0.039515219,0.80054436,A10,0,101_STEAM_3,52.460564252,314_SYNC_COND_1,0,123,123_STEAM_3,100,3510.436050866,3622.282493803,111.846442937
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,12,branch_B6_sustained,branch,B6,bounded,continuous,173.104166667,0,679.176313276,91.930363323,0.000000001,true,true,false,constraint_violation,0.970271763,307,1.087042112,210,0.037042112,0.975157934,CA-1,0,101_STEAM_3,357.999566098,316_STEAM_1,0,317,317_WIND_1,100,3510.436050867,3619.086800389,108.650749522
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,13,branch_C12-1_immediate,branch,C12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.881315074,307,1.087986492,210,0.068684926,0.802225195,A10,0,101_STEAM_3,43.782284024,316_STEAM_1,0,123,123_STEAM_3,100,3510.436050866,3629.474842447,119.038791581
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,14,branch_C12-1_sustained,branch,C12-1,bounded,continuous,173.104166667,0,679.176313276,100,0,true,true,false,constraint_violation,0.873140972,307,1.08508392,210,0.076859028,1.006831692,C6,0,101_STEAM_3,24.645322046,316_STEAM_1,0,122,122_WIND_1,100,3510.436050867,3586.526524609,76.090473742
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,15,branch_C27_immediate,branch,C27,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.982892868,307,1.087895598,210,0.037895598,0.998582159,C29,0,101_STEAM_3,76.447201504,316_STEAM_1,0,123,123_STEAM_3,100,3510.436050866,3631.528873965,121.092823099
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,16,branch_C27_sustained,branch,C27,bounded,continuous,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.941959955,307,1.087685669,210,0.037685669,1.00250476,C29,0,101_STEAM_3,221.886498437,316_STEAM_1,0,303,303_WIND_1,100,3510.436050867,3626.963056635,116.527005768
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,17,branch_C6_immediate,branch,C6,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000002,true,true,false,constraint_violation,0.970560572,307,1.087969952,210,0.037969952,0.912539387,C2,0,101_STEAM_3,79.47367012,316_STEAM_1,0,123,123_STEAM_3,100,3510.436050866,3632.366663231,121.930612365
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,18,branch_C6_sustained,branch,C6,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.955000598,307,1.085598524,210,0.035598524,0.936971813,A10,0,101_STEAM_3,172.237391679,316_STEAM_1,0,122,122_WIND_1,100,3510.436050867,3597.507969172,87.071918305
