candidate_order,candidate_id,dc_bus,bus_name,power_factor_case,data_center_power_factor,hour_index,timestamp,state_order,state_id,kind,element_uid,response_mode,branch_rating,data_center_power_mw,data_center_reactive_demand_mvar,native_reactive_demand_mvar,hvdc_dc1_flow_mw,dc_flow_reconstruction_residual_mw,evaluated,converged,secure,status,min_voltage_pu,min_voltage_bus,max_voltage_pu,max_voltage_bus,max_voltage_violation_pu,max_branch_loading_fraction,max_loaded_branch_uid,max_active_power_violation_mw,max_active_power_violation_generator_uid,max_reactive_power_violation_mvar,max_reactive_power_violation_generator_uid,max_non_slack_pg_deviation_mw,reference_bus,reference_generator_uid,active_generator_count,requested_generation_mw,ac_generation_mw,slack_and_loss_adjustment_mw
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,0,normal,normal,,base,continuous,173.104166667,0,679.176313276,-99.999999999,0.000000002,true,true,false,constraint_violation,1.018254752,207,1.107141494,310,0.057141494,0.972149498,C6,20.780427326,115_STEAM_3,26.493350614,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3624.216478192,113.780427326
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,1,branch_A11_immediate,branch,A11,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,1.012629958,107,1.106817877,310,0.056817877,0.802174281,C10,21.247618446,115_STEAM_3,25.960432157,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3624.683669312,114.247618446
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,2,branch_A11_sustained,branch,A11,bounded,continuous,173.104166667,0,679.176313276,-99.999999999,0,true,true,false,constraint_violation,0.980297029,307,1.088654096,110,0.038654096,1.1242412,CA-1,119.879455759,115_STEAM_3,95.456982414,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3630.315506626,119.879455759
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,3,branch_A12-1_immediate,branch,A12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,1.018039232,207,1.10702081,310,0.05702081,0.802193123,C10,22.402970323,115_STEAM_3,27.235101624,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3625.839021189,115.402970323
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,4,branch_A12-1_sustained,branch,A12-1,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,1.012419617,307,1.094739014,310,0.044739014,1.010455614,C6,81.05429784,115_STEAM_3,8.592952487,102_STEAM_3,0,115,115_STEAM_3,100,3510.436050867,3591.490348707,81.05429784
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,5,branch_A34_immediate,branch,A34,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,1.018258814,207,1.107366431,310,0.057366431,1.022039964,A30,53.593573128,115_STEAM_3,118.105846663,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3657.029623994,146.593573128
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,6,branch_A34_sustained,branch,A34,bounded,continuous,173.104166667,0,679.176313276,88.763895844,0.000000001,true,true,false,constraint_violation,0.98676056,325,1.085797872,210,0.035797872,1.117606408,CA-1,146.539487228,115_STEAM_3,50.34565421,121_NUCLEAR_1,0,115,115_STEAM_3,100,3510.436050867,3656.975538095,146.539487228
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,7,branch_B12-1_immediate,branch,B12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.960150325,207,1.107107584,310,0.057107584,0.802193622,C10,24.766589086,115_STEAM_3,26.970208778,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3628.202639952,117.766589086
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,8,branch_B12-1_sustained,branch,B12-1,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.956565947,207,1.100528453,310,0.050528453,1.015096307,C6,70.130683357,115_STEAM_3,9.138495059,102_STEAM_3,0,115,115_STEAM_3,100,3510.436050866,3580.566734223,70.130683357
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,9,branch_B22_immediate,branch,B22,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,1.01165966,207,1.107381053,310,0.057381053,0.802157384,C10,27.145381223,115_STEAM_3,29.897771431,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3630.581432089,120.145381223
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,10,branch_B22_sustained,branch,B22,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.989101444,325,1.085054089,110,0.035054089,1.124771375,CA-1,127.918980339,115_STEAM_3,49.95143067,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3638.355031206,127.918980339
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,11,branch_B6_immediate,branch,B6,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,1.021979484,207,1.107081785,310,0.057081785,0.802193999,C10,20.707364458,115_STEAM_3,26.091800734,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3624.143415324,113.707364458
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,12,branch_B6_sustained,branch,B6,bounded,continuous,173.104166667,0,679.176313276,91.930363323,0.000000001,true,true,false,constraint_violation,0.991278519,325,1.086981137,210,0.036981137,1.111726705,CA-1,118.650091012,115_STEAM_3,43.698401514,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3629.086141879,118.650091012
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,13,branch_C12-1_immediate,branch,C12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.93575119,307,1.088629546,110,0.038629546,0.780357336,A10,26.983576833,115_STEAM_3,26.748902144,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3630.419627699,119.983576833
