candidate_order,candidate_id,dc_bus,bus_name,power_factor_case,data_center_power_factor,hour_index,timestamp,state_order,state_id,kind,element_uid,response_mode,branch_rating,data_center_power_mw,data_center_reactive_demand_mvar,native_reactive_demand_mvar,hvdc_dc1_flow_mw,dc_flow_reconstruction_residual_mw,evaluated,converged,secure,status,min_voltage_pu,min_voltage_bus,max_voltage_pu,max_voltage_bus,max_voltage_violation_pu,max_branch_loading_fraction,max_loaded_branch_uid,max_active_power_violation_mw,max_active_power_violation_generator_uid,max_reactive_power_violation_mvar,max_reactive_power_violation_generator_uid,max_non_slack_pg_deviation_mw,reference_bus,reference_generator_uid,active_generator_count,requested_generation_mw,ac_generation_mw,slack_and_loss_adjustment_mw
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,0,normal,normal,,base,continuous,173.104166667,0,679.176313276,-99.999999999,0.000000002,true,true,false,constraint_violation,0.987447516,307,1.087893214,210,0.037893214,0.962994062,C6,23.995521662,115_STEAM_3,52.204987571,314_SYNC_COND_1,0,115,115_STEAM_3,100,3510.436050866,3627.431572528,116.995521662
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,1,branch_A11_immediate,branch,A11,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.987146125,307,1.087736966,210,0.037736966,0.806543487,A10,24.348499904,115_STEAM_3,51.787307998,314_SYNC_COND_1,0,115,115_STEAM_3,100,3510.436050866,3627.78455077,117.348499904
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,2,branch_A11_sustained,branch,A11,bounded,continuous,173.104166667,0,679.176313276,-99.999999999,0,true,true,false,constraint_violation,0.938351096,307,1.088271326,210,0.038271326,1.131761794,CA-1,124.656507527,115_STEAM_3,229.914823103,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3635.092558394,124.656507527
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,3,branch_A12-1_immediate,branch,A12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.987331651,307,1.087737429,210,0.037737429,0.800914631,A10,25.605015369,115_STEAM_3,52.045364927,314_SYNC_COND_1,0,115,115_STEAM_3,100,3510.436050866,3629.041066235,118.605015369
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,4,branch_A12-1_sustained,branch,A12-1,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.973239679,307,1.085563437,210,0.035563437,1.004289076,C6,84.99438191,115_STEAM_3,81.231677896,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3595.430432777,84.99438191
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,5,branch_A34_immediate,branch,A34,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.987659007,307,1.087926153,210,0.037926153,1.022040993,A30,56.806893216,115_STEAM_3,118.851941426,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3660.242944082,149.806893216
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,6,branch_A34_sustained,branch,A34,bounded,continuous,173.104166667,0,679.176313276,88.763895844,0.000000001,true,true,false,constraint_violation,0.951534311,307,1.08552166,210,0.03552166,1.125030357,CA-1,151.199033264,115_STEAM_3,182.353380818,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3661.635084131,151.199033264
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,7,branch_B12-1_immediate,branch,B12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.959864506,207,1.076572941,210,0.026572941,0.802419583,A10,27.986640731,115_STEAM_3,52.160695799,314_SYNC_COND_1,0,115,115_STEAM_3,100,3510.436050866,3631.422691597,120.986640731
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,8,branch_B12-1_sustained,branch,B12-1,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.956291499,207,1.073601555,210,0.023601555,1.011416777,C6,73.782571834,115_STEAM_3,33.134585535,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3584.2186227,73.782571834
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,9,branch_B22_immediate,branch,B22,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.987672354,307,1.082113203,210,0.032113203,0.800670906,A10,30.367575478,115_STEAM_3,52.510238098,314_SYNC_COND_1,0,115,115_STEAM_3,100,3510.436050866,3633.803626344,123.367575478
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,10,branch_B22_sustained,branch,B22,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.954661191,307,1.082811718,210,0.032811718,1.132094762,CA-1,132.708478248,115_STEAM_3,181.394299099,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3643.144529115,132.708478248
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,11,branch_B6_immediate,branch,B6,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.987392301,307,1.08945946,210,0.03945946,0.800613182,A10,23.883647131,115_STEAM_3,52.129086095,314_SYNC_COND_1,0,115,115_STEAM_3,100,3510.436050866,3627.319697997,116.883647131
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,12,branch_B6_sustained,branch,B6,bounded,continuous,173.104166667,0,679.176313276,91.930363323,0.000000001,true,true,false,constraint_violation,0.963930613,307,1.087013144,210,0.037013144,1.11793121,CA-1,122.884796271,115_STEAM_3,174.827129978,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3633.320847138,122.884796271
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,13,branch_C12-1_immediate,branch,C12-1,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.880864603,307,1.087899821,210,0.069135397,0.802328881,A10,31.425692267,115_STEAM_3,45.862222656,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3634.861743133,124.425692267
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,14,branch_C12-1_sustained,branch,C12-1,bounded,continuous,173.104166667,0,679.176313276,100,0,true,true,false,constraint_violation,0.873158177,307,1.085092828,210,0.076841823,1.007630944,C6,75.312545263,115_STEAM_3,24.827669228,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3585.74859613,75.312545263
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,15,branch_C27_immediate,branch,C27,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.982684776,307,1.087807655,210,0.037807655,0.99971913,C29,33.176362377,115_STEAM_3,76.948586375,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3636.612413243,126.176362377
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,16,branch_C27_sustained,branch,C27,bounded,continuous,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.939813284,307,1.088160412,210,0.038160412,1.051899051,CA-1,33.83032909,216_STEAM_1,275.755430877,316_STEAM_1,0,216,216_STEAM_1,100,3510.436050867,3637.266379957,126.83032909
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,17,branch_C6_immediate,branch,C6,fixed,short_term,173.104166667,0,679.176313276,-100,0.000000002,true,true,false,constraint_violation,0.970274345,307,1.087880854,210,0.037880854,0.909058173,C2,34.312141108,115_STEAM_3,81.200350641,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3637.748191974,127.312141108
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,18,branch_C6_sustained,branch,C6,bounded,continuous,173.104166667,0,679.176313276,-100,0.000000001,true,true,false,constraint_violation,0.955185581,307,1.085599203,210,0.035599203,0.937197748,A10,86.588737836,115_STEAM_3,172.434449611,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3597.024788703,86.588737836
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,19,branch_CA-1_immediate,branch,CA-1,fixed,short_term,173.104166667,0,679.176313276,-100,0,true,true,false,constraint_violation,0.98207792,307,1.088043516,210,0.038043516,0.847499701,A28,48.559064057,115_STEAM_3,85.033182335,116_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3651.995114923,141.559064057
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,20,branch_CA-1_sustained,branch,CA-1,bounded,continuous,173.104166667,0,679.176313276,100,0,true,true,false,constraint_violation,0.956032159,307,1.084428237,210,0.034428237,1.21911233,CB-1,174.470396211,115_STEAM_3,347.917388811,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3684.906447078,174.470396211
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,21,generator_121_NUCLEAR_1_sustained,generator,121_NUCLEAR_1,bounded,continuous,173.104166667,0,679.176313276,-99.999999999,0,true,true,false,constraint_violation,0.928071996,307,1.085577711,210,0.035577711,1.112034133,CA-1,150.85967317,115_STEAM_3,291.157610804,316_STEAM_1,0,115,115_STEAM_3,99,3510.436050867,3661.295724037,150.85967317
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,22,generator_213_CC_3_sustained,generator,213_CC_3,bounded,continuous,173.104166667,0,679.176313276,100,0.000000001,true,true,false,constraint_violation,0.964850186,307,1.085664031,210,0.035664031,1.114020459,CA-1,124.791536232,115_STEAM_3,167.773375497,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050867,3635.227587099,124.791536232
1,poi_bus_120,120,Attila,unity,1,0,2020-01-01T00:00:00+00:00,23,generator_313_CC_1_sustained,generator,313_CC_1,bounded,continuous,173.104166667,0,679.176313276,100.000000001,0,true,true,false,constraint_violation,0.955320315,307,1.085392486,210,0.035392486,1.115518688,CA-1,145.113738773,115_STEAM_3,149.92423843,316_STEAM_1,0,115,115_STEAM_3,100,3510.436050866,3655.549789639,145.113738773
1,poi_bus_120,120,Attila,unity,1,1,2020-01-01T01:00:00+00:00,0,normal,normal,,base,continuous,175.875,0,663.651430585,-99.999999999,0,true,true,false,constraint_violation,0.998191938,307,1.088740662,210,0.038740662,1.001836645,C6,23.718993389,115_STEAM_3,63.396607837,314_SYNC_COND_1,0,115,115_STEAM_3,100,3436.9208227,3553.639816089,116.718993389
1,poi_bus_120,120,Attila,unity,1,1,2020-01-01T01:00:00+00:00,1,branch_A11_immediate,branch,A11,fixed,short_term,175.875,0,663.651430585,-99.999999999,0,true,true,false,constraint_violation,0.99804453,307,1.088458023,210,0.038458023,0.801431362,A10,24.218757076,115_STEAM_3,63.191873682,314_SYNC_COND_1,0,115,115_STEAM_3,100,3436.9208227,3554.139579776,117.218757076
1,poi_bus_120,120,Attila,unity,1,1,2020-01-01T01:00:00+00:00,2,branch_A11_sustained,branch,A11,bounded,continuous,175.875,0,663.651430585,99.999999999,0.000000001,true,true,false,constraint_violation,0.98239731,307,1.087584437,210,0.037584437,0.923619328,C10,28.044077069,115_STEAM_3,79.52852965,316_STEAM_1,0,115,115_STEAM_3,100,3436.9208227,3557.964899769,121.044077069
1,poi_bus_120,120,Attila,unity,1,1,2020-01-01T01:00:00+00:00,3,branch_A12-1_immediate,branch,A12-1,fixed,short_term,175.875,0,663.651430585,-100,0,true,true,false,constraint_violation,0.9981319,307,1.088564674,210,0.038564674,0.795294335,C6,25.271494385,115_STEAM_3,63.313992546,314_SYNC_COND_1,0,115,115_STEAM_3,100,3436.9208227,3555.192317085,118.271494385
1,poi_bus_120,120,Attila,unity,1,1,2020-01-01T01:00:00+00:00,4,branch_A12-1_sustained,branch,A12-1,bounded,continuous,175.875,0,663.651430585,100,0,true,true,false,constraint_violation,0.967052706,307,1.086342006,210,0.036342006,1.119026904,CA-1,123.139971325,115_STEAM_3,176.46949689,316_STEAM_1,0,115,115_STEAM_3,100,3436.9208227,3560.060794025,123.139971325
1,poi_bus_120,120,Attila,unity,1,1,2020-01-01T01:00:00+00:00,5,branch_A34_immediate,branch,A34,fixed,short_term,175.875,0,663.651430585,-99.999999999,0,true,true,false,constraint_violation,0.998297836,307,1.088779643,210,0.038779643,1.022108264,A30,56.151852557,115_STEAM_3,125.780174849,116_STEAM_1,0,115,115_STEAM_3,100,3436.9208227,3586.072675257,149.151852557
1,poi_bus_120,120,Attila,unity,1,1,2020-01-01T01:00:00+00:00,6,branch_A34_sustained,branch,A34,bounded,continuous,175.875,0,663.651430585,-100,0,true,true,false,constraint_violation,0.967720142,307,1.086066903,210,0.036066903,1.007803293,A30,38.902737494,316_STEAM_1,135.445912355,316_STEAM_1,0,316,316_STEAM_1,100,3436.9208227,3568.823560194,131.902737494
1,poi_bus_120,120,Attila,unity,1,1,2020-01-01T01:00:00+00:00,7,branch_B12-1_immediate,branch,B12-1,fixed,short_term,175.875,0,663.651430585,-100,0,true,true,false,constraint_violation,0.964413902,207,1.077899521,210,0.027899521,0.796453156,C6,27.494058783,115_STEAM_3,63.37403986,314_SYNC_COND_1,0,115,115_STEAM_3,100,3436.9208227,3557.414881483,120.494058783
