timestamp,state_id,kind,element_uid,response_mode,branch_rating,total_generation_mw,maximum_branch_loading_fraction,maximum_branch_rating_violation_mw,outaged_element_output_mw
2020-01-01T00:00:00+00:00,normal,normal,,base,continuous,3510.436050867,0.95814024,0,0
2020-01-01T00:00:00+00:00,branch_A11_immediate,branch,A11,fixed,short_term,3510.436050867,0.760710681,0,0
2020-01-01T00:00:00+00:00,branch_A11_sustained,branch,A11,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_A12-1_immediate,branch,A12-1,fixed,short_term,3510.436050867,0.954780217,0,0
2020-01-01T00:00:00+00:00,branch_A12-1_sustained,branch,A12-1,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_A34_immediate,branch,A34,fixed,short_term,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_A34_sustained,branch,A34,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_B12-1_immediate,branch,B12-1,fixed,short_term,3510.436050867,0.761980526,0,0
2020-01-01T00:00:00+00:00,branch_B12-1_sustained,branch,B12-1,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_B22_immediate,branch,B22,fixed,short_term,3510.436050867,0.766208882,0,0
2020-01-01T00:00:00+00:00,branch_B22_sustained,branch,B22,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_B6_immediate,branch,B6,fixed,short_term,3510.436050867,0.761820767,0,0
2020-01-01T00:00:00+00:00,branch_B6_sustained,branch,B6,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_C12-1_immediate,branch,C12-1,fixed,short_term,3510.436050867,0.696548975,0,0
2020-01-01T00:00:00+00:00,branch_C12-1_sustained,branch,C12-1,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_C27_immediate,branch,C27,fixed,short_term,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_C27_sustained,branch,C27,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_C6_immediate,branch,C6,fixed,short_term,3510.436050867,0.905985287,0,0
2020-01-01T00:00:00+00:00,branch_C6_sustained,branch,C6,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,branch_CA-1_immediate,branch,CA-1,fixed,short_term,3510.436050867,0.82247725,0,0
2020-01-01T00:00:00+00:00,branch_CA-1_sustained,branch,CA-1,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,generator_121_NUCLEAR_1_sustained,generator,121_NUCLEAR_1,bounded,continuous,3510.436050867,0.994373824,0,0
2020-01-01T00:00:00+00:00,generator_213_CC_3_sustained,generator,213_CC_3,bounded,continuous,3510.436050867,1,0,0
2020-01-01T00:00:00+00:00,generator_313_CC_1_sustained,generator,313_CC_1,bounded,continuous,3510.436050867,1,0,0
2020-01-01T01:00:00+00:00,normal,normal,,base,continuous,3436.9208227,1,0,0
2020-01-01T01:00:00+00:00,branch_A11_immediate,branch,A11,fixed,short_term,3436.9208227,0.794579335,0,0
2020-01-01T01:00:00+00:00,branch_A11_sustained,branch,A11,bounded,continuous,3436.9208227,1,0,0
2020-01-01T01:00:00+00:00,branch_A12-1_immediate,branch,A12-1,fixed,short_term,3436.9208227,0.922380495,0,0
2020-01-01T01:00:00+00:00,branch_A12-1_sustained,branch,A12-1,bounded,continuous,3436.9208227,1,0,0
2020-01-01T01:00:00+00:00,branch_A34_immediate,branch,A34,fixed,short_term,3436.9208227,1,0,0
2020-01-01T01:00:00+00:00,branch_A34_sustained,branch,A34,bounded,continuous,3436.9208227,1,0,0
2020-01-01T01:00:00+00:00,branch_B12-1_immediate,branch,B12-1,fixed,short_term,3436.9208227,0.795282698,0,0
