generator_uid,commitment,generation_mw,time_in_state_hours,source_scope
101_CT_1,false,0,1,optimization_derived_free_boundary_not_observed_chronology
101_CT_2,false,0,1,optimization_derived_free_boundary_not_observed_chronology
101_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
101_PV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
101_PV_3,true,0,0,optimization_derived_free_boundary_not_observed_chronology
101_PV_4,true,0,0,optimization_derived_free_boundary_not_observed_chronology
101_STEAM_3,true,30,8,optimization_derived_free_boundary_not_observed_chronology
101_STEAM_4,true,30,8,optimization_derived_free_boundary_not_observed_chronology
102_CT_1,false,0,1,optimization_derived_free_boundary_not_observed_chronology
102_CT_2,false,0,1,optimization_derived_free_boundary_not_observed_chronology
102_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
102_PV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
102_STEAM_3,true,30,8,optimization_derived_free_boundary_not_observed_chronology
102_STEAM_4,true,30,8,optimization_derived_free_boundary_not_observed_chronology
103_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
104_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
107_CC_1,false,0,5,optimization_derived_free_boundary_not_observed_chronology
113_CT_1,false,0,3,optimization_derived_free_boundary_not_observed_chronology
113_CT_2,false,0,3,optimization_derived_free_boundary_not_observed_chronology
113_CT_3,false,0,3,optimization_derived_free_boundary_not_observed_chronology
113_CT_4,false,0,3,optimization_derived_free_boundary_not_observed_chronology
113_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
114_SYNC_COND_1,false,0,0,optimization_derived_free_boundary_not_observed_chronology
115_STEAM_1,false,0,2,optimization_derived_free_boundary_not_observed_chronology
115_STEAM_2,false,0,2,optimization_derived_free_boundary_not_observed_chronology
115_STEAM_3,true,62,8,optimization_derived_free_boundary_not_observed_chronology
116_STEAM_1,true,62,8,optimization_derived_free_boundary_not_observed_chronology
118_CC_1,false,0,5,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_10,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_2,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_3,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_4,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_5,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_6,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_7,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_8,true,0,0,optimization_derived_free_boundary_not_observed_chronology
118_RTPV_9,true,0,0,optimization_derived_free_boundary_not_observed_chronology
119_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
121_NUCLEAR_1,true,400,24,optimization_derived_free_boundary_not_observed_chronology
122_HYDRO_1,true,4.2,0,optimization_derived_free_boundary_not_observed_chronology
122_HYDRO_2,true,4.2,0,optimization_derived_free_boundary_not_observed_chronology
122_HYDRO_3,true,4.2,0,optimization_derived_free_boundary_not_observed_chronology
122_HYDRO_4,true,4.2,0,optimization_derived_free_boundary_not_observed_chronology
122_HYDRO_5,true,4.2,0,optimization_derived_free_boundary_not_observed_chronology
122_HYDRO_6,true,4.2,0,optimization_derived_free_boundary_not_observed_chronology
122_WIND_1,true,713.2,0,optimization_derived_free_boundary_not_observed_chronology
123_CT_1,false,0,3,optimization_derived_free_boundary_not_observed_chronology
123_CT_4,false,0,3,optimization_derived_free_boundary_not_observed_chronology
123_CT_5,false,0,3,optimization_derived_free_boundary_not_observed_chronology
123_STEAM_2,true,62,8,optimization_derived_free_boundary_not_observed_chronology
123_STEAM_3,true,140,24,optimization_derived_free_boundary_not_observed_chronology
201_CT_1,false,0,1,optimization_derived_free_boundary_not_observed_chronology
201_CT_2,false,0,1,optimization_derived_free_boundary_not_observed_chronology
201_HYDRO_4,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
201_STEAM_3,true,30,8,optimization_derived_free_boundary_not_observed_chronology
202_CT_1,false,0,1,optimization_derived_free_boundary_not_observed_chronology
202_CT_2,false,0,1,optimization_derived_free_boundary_not_observed_chronology
202_STEAM_3,true,30,8,optimization_derived_free_boundary_not_observed_chronology
202_STEAM_4,true,30,8,optimization_derived_free_boundary_not_observed_chronology
207_CT_1,false,0,3,optimization_derived_free_boundary_not_observed_chronology
207_CT_2,false,0,3,optimization_derived_free_boundary_not_observed_chronology
212_CSP_1,false,0,0,optimization_derived_free_boundary_not_observed_chronology
213_CC_3,false,0,5,optimization_derived_free_boundary_not_observed_chronology
213_CT_1,false,0,3,optimization_derived_free_boundary_not_observed_chronology
213_CT_2,false,0,3,optimization_derived_free_boundary_not_observed_chronology
213_RTPV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
214_SYNC_COND_1,false,0,0,optimization_derived_free_boundary_not_observed_chronology
215_CT_4,false,0,3,optimization_derived_free_boundary_not_observed_chronology
215_CT_5,false,0,3,optimization_derived_free_boundary_not_observed_chronology
215_HYDRO_1,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
215_HYDRO_2,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
215_HYDRO_3,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
215_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
216_STEAM_1,true,62,8,optimization_derived_free_boundary_not_observed_chronology
218_CC_1,false,0,5,optimization_derived_free_boundary_not_observed_chronology
221_CC_1,false,0,5,optimization_derived_free_boundary_not_observed_chronology
222_HYDRO_1,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
222_HYDRO_2,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
222_HYDRO_3,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
222_HYDRO_4,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
222_HYDRO_5,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
222_HYDRO_6,true,9.3,0,optimization_derived_free_boundary_not_observed_chronology
223_CT_4,false,0,3,optimization_derived_free_boundary_not_observed_chronology
223_CT_5,false,0,3,optimization_derived_free_boundary_not_observed_chronology
223_CT_6,false,0,3,optimization_derived_free_boundary_not_observed_chronology
223_STEAM_1,true,62,8,optimization_derived_free_boundary_not_observed_chronology
223_STEAM_2,true,62,8,optimization_derived_free_boundary_not_observed_chronology
223_STEAM_3,true,140,24,optimization_derived_free_boundary_not_observed_chronology
301_CT_1,false,0,1,optimization_derived_free_boundary_not_observed_chronology
301_CT_2,false,0,1,optimization_derived_free_boundary_not_observed_chronology
301_CT_3,false,0,3,optimization_derived_free_boundary_not_observed_chronology
301_CT_4,false,0,3,optimization_derived_free_boundary_not_observed_chronology
302_CT_1,false,0,1,optimization_derived_free_boundary_not_observed_chronology
302_CT_2,false,0,1,optimization_derived_free_boundary_not_observed_chronology
302_CT_3,false,0,3,optimization_derived_free_boundary_not_observed_chronology
302_CT_4,false,0,3,optimization_derived_free_boundary_not_observed_chronology
303_WIND_1,true,351.136050867,0,optimization_derived_free_boundary_not_observed_chronology
307_CT_1,false,0,3,optimization_derived_free_boundary_not_observed_chronology
307_CT_2,false,0,3,optimization_derived_free_boundary_not_observed_chronology
308_RTPV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
309_WIND_1,true,142.8,0,optimization_derived_free_boundary_not_observed_chronology
310_PV_1,true,0,0,optimization_derived_free_boundary_not_observed_chronology
