timestamp,branch_uid,from_bus,to_bus,flow_mw,continuous_rating_mw,loading_fraction
2020-01-01T00:00:00+00:00,A1,101,102,20.512743698,175,0.117215678
2020-01-01T00:00:00+00:00,A10,106,110,-18.336232464,175,0.104778471
2020-01-01T00:00:00+00:00,A11,107,108,-21.618495198,175,0.123534258
2020-01-01T00:00:00+00:00,A12-1,108,109,-135.438990659,175,0.773937089
2020-01-01T00:00:00+00:00,A13-2,108,110,-118.384858738,175,0.676484907
2020-01-01T00:00:00+00:00,A14,109,111,-73.338823208,400,0.183347058
2020-01-01T00:00:00+00:00,A15,109,112,-48.02200795,400,0.12005502
2020-01-01T00:00:00+00:00,A16,110,111,-107.426773995,400,0.268566935
2020-01-01T00:00:00+00:00,A17,110,112,-81.73581861,400,0.204339547
2020-01-01T00:00:00+00:00,A18,111,113,26.320736306,500,0.052641473
2020-01-01T00:00:00+00:00,A19,111,114,-207.086333509,500,0.414172667
2020-01-01T00:00:00+00:00,A2,101,103,-37.333488711,175,0.213334221
2020-01-01T00:00:00+00:00,A20,112,113,-19.312823196,500,0.038625646
2020-01-01T00:00:00+00:00,A21,112,123,-110.445003365,500,0.220890007
2020-01-01T00:00:00+00:00,A22,113,123,-112.484480609,500,0.224968961
2020-01-01T00:00:00+00:00,A23,114,116,-274.136803575,500,0.548273607
2020-01-01T00:00:00+00:00,A24,115,116,200.789314866,500,0.40157863
2020-01-01T00:00:00+00:00,A25-1,115,121,-214.85746303,500,0.429714926
2020-01-01T00:00:00+00:00,A25-2,115,121,-214.85746303,500,0.429714926
2020-01-01T00:00:00+00:00,A26,115,124,181.363760623,500,0.362727521
2020-01-01T00:00:00+00:00,A27,116,117,-393.592116398,500,0.787184233
2020-01-01T00:00:00+00:00,A28,116,119,347.682529717,500,0.695365059
2020-01-01T00:00:00+00:00,A29,117,118,-81.920214578,500,0.163840429
2020-01-01T00:00:00+00:00,A3,101,105,39.493679203,175,0.225678167
2020-01-01T00:00:00+00:00,A30,117,122,-311.67190182,500,0.623343804
2020-01-01T00:00:00+00:00,A31-1,118,121,-98.506000412,500,0.197012001
2020-01-01T00:00:00+00:00,A31-2,118,121,-98.506000412,500,0.197012001
2020-01-01T00:00:00+00:00,A32-1,119,120,142.562566194,500,0.285125132
2020-01-01T00:00:00+00:00,A32-2,119,120,142.562566194,500,0.285125132
2020-01-01T00:00:00+00:00,A33-1,120,123,120.442823492,500,0.240885647
2020-01-01T00:00:00+00:00,A33-2,120,123,120.442823492,500,0.240885647
2020-01-01T00:00:00+00:00,A34,121,122,-426.72809818,500,0.853456196
2020-01-01T00:00:00+00:00,A4,102,104,18.319287888,175,0.104681645
2020-01-01T00:00:00+00:00,A5,102,106,28.668220778,175,0.163818404
2020-01-01T00:00:00+00:00,A6,103,109,81.818495562,175,0.46753426
2020-01-01T00:00:00+00:00,A7,103,124,-181.363760623,400,0.453409402
2020-01-01T00:00:00+00:00,A8,104,109,-7.256664611,175,0.041466655
2020-01-01T00:00:00+00:00,A9,105,110,14.954589643,175,0.085454798
2020-01-01T00:00:00+00:00,AB1,107,203,-21.584127267,175,0.12333787
2020-01-01T00:00:00+00:00,AB2,113,215,127.902834094,500,0.255805668
2020-01-01T00:00:00+00:00,AB3,123,217,219.95616301,500,0.439912326
2020-01-01T00:00:00+00:00,B1,201,202,-3.354138861,175,0.019166508
2020-01-01T00:00:00+00:00,B10,206,210,-39.762456098,175,0.227214035
2020-01-01T00:00:00+00:00,B11,207,208,-48.362978114,175,0.276359875
2020-01-01T00:00:00+00:00,B12-1,208,209,-62.033118834,175,0.354474965
2020-01-01T00:00:00+00:00,B13-2,208,210,-52.49041334,175,0.299945219
2020-01-01T00:00:00+00:00,B14,209,211,-59.160621541,400,0.147901554
2020-01-01T00:00:00+00:00,B15,209,212,-83.022276694,400,0.207555692
2020-01-01T00:00:00+00:00,B16,210,211,-78.502502723,400,0.196256257
2020-01-01T00:00:00+00:00,B17,210,212,-102.716793174,400,0.256791983
2020-01-01T00:00:00+00:00,B18,211,213,-59.796517385,500,0.119593035
2020-01-01T00:00:00+00:00,B19,211,214,-77.866606879,500,0.155733214
2020-01-01T00:00:00+00:00,B2,201,203,-13.081465197,175,0.07475123
2020-01-01T00:00:00+00:00,B20,212,213,-16.785883971,500,0.033571768
2020-01-01T00:00:00+00:00,B21,212,223,-168.953185897,500,0.337906372
2020-01-01T00:00:00+00:00,B22,213,223,-179.111914958,500,0.35822383
2020-01-01T00:00:00+00:00,B23,214,216,-152.925948912,500,0.305851898
2020-01-01T00:00:00+00:00,B24,215,216,-32.335594173,500,0.064671188
2020-01-01T00:00:00+00:00,B25-1,215,221,-24.373956074,500,0.048747912
2020-01-01T00:00:00+00:00,B25-2,215,221,-24.373956074,500,0.048747912
2020-01-01T00:00:00+00:00,B26,215,224,114.237827918,500,0.228475656
2020-01-01T00:00:00+00:00,B27,216,217,-98.169277167,500,0.196338554
2020-01-01T00:00:00+00:00,B28,216,219,-63.78264841,500,0.127565297
2020-01-01T00:00:00+00:00,B29,217,218,132.692189545,500,0.265384379
2020-01-01T00:00:00+00:00,B3,201,205,13.949990967,175,0.079714234
2020-01-01T00:00:00+00:00,B30,217,222,-10.905303701,500,0.021810607
2020-01-01T00:00:00+00:00,B31-1,218,221,1.926607924,500,0.003853216
2020-01-01T00:00:00+00:00,B31-2,218,221,1.926607924,500,0.003853216
2020-01-01T00:00:00+00:00,B32-1,219,220,-66.906120359,500,0.133812241
2020-01-01T00:00:00+00:00,B32-2,219,220,-66.906120359,500,0.133812241
2020-01-01T00:00:00+00:00,B33-1,220,223,-91.667965154,500,0.18333593
2020-01-01T00:00:00+00:00,B33-2,220,223,-91.667965154,500,0.18333593
2020-01-01T00:00:00+00:00,B34,221,222,-44.894696299,500,0.089789393
2020-01-01T00:00:00+00:00,B4,202,204,6.259726032,175,0.035769863
2020-01-01T00:00:00+00:00,B5,202,206,12.85646409,175,0.073465509
2020-01-01T00:00:00+00:00,B6,203,209,9.92954697,175,0.056740268
2020-01-01T00:00:00+00:00,B7,203,224,-114.237827918,400,0.28559457
2020-01-01T00:00:00+00:00,B8,204,209,-22.371157011,175,0.127835183
2020-01-01T00:00:00+00:00,B9,205,210,-13.520180601,175,0.077258175
2020-01-01T00:00:00+00:00,C1,301,302,37.681293643,175,0.215321678
2020-01-01T00:00:00+00:00,C10,306,310,-42.310084435,175,0.241771911
2020-01-01T00:00:00+00:00,C11,307,308,-54.808604868,175,0.313192028
2020-01-01T00:00:00+00:00,C12-1,308,309,-92.896427946,175,0.530836731
2020-01-01T00:00:00+00:00,C13-2,308,310,-36.890348382,175,0.210801991
2020-01-01T00:00:00+00:00,C14,309,311,24.022315788,400,0.060055789
2020-01-01T00:00:00+00:00,C15,309,312,19.464571626,400,0.048661429
2020-01-01T00:00:00+00:00,C16,310,311,-84.008824372,400,0.210022061
2020-01-01T00:00:00+00:00,C17,310,312,-88.633924359,400,0.221584811
2020-01-01T00:00:00+00:00,C18,311,313,4.681863364,500,0.009363727
2020-01-01T00:00:00+00:00,C19,311,314,-64.668371948,500,0.129336744
2020-01-01T00:00:00+00:00,C2,301,303,-108.226323494,175,0.618436134
2020-01-01T00:00:00+00:00,C20,312,313,12.897197216,500,0.025794394
2020-01-01T00:00:00+00:00,C21,312,323,-82.066549949,500,0.1641331
2020-01-01T00:00:00+00:00,C22,313,323,-98.615181741,500,0.197230363
2020-01-01T00:00:00+00:00,C23,314,316,-149.731326704,500,0.299462653
2020-01-01T00:00:00+00:00,C24,315,316,2.066431407,500,0.004132863
2020-01-01T00:00:00+00:00,C25-1,315,321,-51.004817324,500,0.102009635
2020-01-01T00:00:00+00:00,C25-2,315,321,-51.004817324,500,0.102009635
2020-01-01T00:00:00+00:00,C26,315,324,-39.051418707,500,0.078102837
2020-01-01T00:00:00+00:00,C27,316,317,-345.679210821,500,0.691358422
2020-01-01T00:00:00+00:00,C28,316,319,116.167431629,500,0.232334863
2020-01-01T00:00:00+00:00,C29,317,318,438.060707685,500,0.876121415
2020-01-01T00:00:00+00:00,C3,301,305,23.190395245,175,0.132516544
2020-01-01T00:00:00+00:00,C30,317,322,11.360081495,500,0.022720163
2020-01-01T00:00:00+00:00,C31-1,318,321,12.324776576,500,0.024649553
2020-01-01T00:00:00+00:00,C31-2,318,321,12.324776576,500,0.024649553
2020-01-01T00:00:00+00:00,C32-1,319,320,18.40228589,500,0.036804572
2020-01-01T00:00:00+00:00,C32-2,319,320,18.40228589,500,0.036804572
2020-01-01T00:00:00+00:00,C33-1,320,323,-9.659719803,500,0.01931944
2020-01-01T00:00:00+00:00,C33-2,320,323,-9.659719803,500,0.01931944
2020-01-01T00:00:00+00:00,C34,321,322,-77.360081495,500,0.154720163
2020-01-01T00:00:00+00:00,C35,323,325,-200.001171296,722,0.277009933
2020-01-01T00:00:00+00:00,C4,302,304,-22.171861397,175,0.126696351
2020-01-01T00:00:00+00:00,C5,302,306,17.321677662,175,0.098981015
2020-01-01T00:00:00+00:00,C6,303,309,124.933917655,175,0.713908101
2020-01-01T00:00:00+00:00,C7,303,324,39.051418707,400,0.097628547
2020-01-01T00:00:00+00:00,C8,304,309,-54.618555479,175,0.312106031
2020-01-01T00:00:00+00:00,C9,305,310,-7.94089232,175,0.045376528
2020-01-01T00:00:00+00:00,CA-1,325,121,-200.001171296,500,0.400002343
2020-01-01T00:00:00+00:00,CB-1,318,223,267.401031163,500,0.534802062
2020-01-01T01:00:00+00:00,A1,101,102,20.236905529,175,0.11563946
2020-01-01T01:00:00+00:00,A10,106,110,-18.569359484,175,0.106110626
2020-01-01T01:00:00+00:00,A11,107,108,-18.423363543,175,0.105276363
2020-01-01T01:00:00+00:00,A12-1,108,109,-135.164858783,175,0.772370622
2020-01-01T01:00:00+00:00,A13-2,108,110,-118.276998082,175,0.67586856
2020-01-01T01:00:00+00:00,A14,109,111,-73.486702724,400,0.183716757
2020-01-01T01:00:00+00:00,A15,109,112,-49.008964354,400,0.122522411
2020-01-01T01:00:00+00:00,A16,110,111,-107.255061405,400,0.268137654
2020-01-01T01:00:00+00:00,A17,110,112,-82.415583059,400,0.206038958
2020-01-01T01:00:00+00:00,A18,111,113,23.140337835,500,0.046280676
2020-01-01T01:00:00+00:00,A19,111,114,-203.882101964,500,0.407764204
2020-01-01T01:00:00+00:00,A2,101,103,-36.767393499,175,0.210099391
2020-01-01T01:00:00+00:00,A20,112,113,-20.980785578,500,0.041961571
2020-01-01T01:00:00+00:00,A21,112,123,-110.443761835,500,0.220887524
2020-01-01T01:00:00+00:00,A22,113,123,-111.562841267,500,0.223125683
2020-01-01T01:00:00+00:00,A23,114,116,-270.980568072,500,0.541961136
2020-01-01T01:00:00+00:00,A24,115,116,195.898309732,500,0.391796619
2020-01-01T01:00:00+00:00,A25-1,115,121,-211.566887951,500,0.423133776
2020-01-01T01:00:00+00:00,A25-2,115,121,-211.566887951,500,0.423133776
2020-01-01T01:00:00+00:00,A26,115,124,179.595189076,500,0.359190378
2020-01-01T01:00:00+00:00,A27,116,117,-388.100966869,500,0.776201934
2020-01-01T01:00:00+00:00,A28,116,119,340.431870329,500,0.680863741
2020-01-01T01:00:00+00:00,A29,117,118,-78.117015213,500,0.15623403
2020-01-01T01:00:00+00:00,A3,101,105,39.176702714,175,0.223866873
2020-01-01T01:00:00+00:00,A30,117,122,-309.983951656,500,0.619967903
2020-01-01T01:00:00+00:00,A31-1,118,121,-96.64559321,500,0.193291186
2020-01-01T01:00:00+00:00,A31-2,118,121,-96.64559321,500,0.193291186
2020-01-01T01:00:00+00:00,A32-1,119,120,138.914846594,500,0.277829693
2020-01-01T01:00:00+00:00,A32-2,119,120,138.914846594,500,0.277829693
2020-01-01T01:00:00+00:00,A33-1,120,123,116.779270146,500,0.23355854
2020-01-01T01:00:00+00:00,A33-2,120,123,116.779270146,500,0.23355854
2020-01-01T01:00:00+00:00,A34,121,122,-425.616048344,500,0.851232097
2020-01-01T01:00:00+00:00,A4,102,104,18.218932007,175,0.104108183
2020-01-01T01:00:00+00:00,A5,102,106,28.468740468,175,0.162678517
2020-01-01T01:00:00+00:00,A6,103,109,80.571486817,175,0.460408496
2020-01-01T01:00:00+00:00,A7,103,124,-179.595189076,400,0.448987973
2020-01-01T01:00:00+00:00,A8,104,109,-7.375328261,175,0.042144733
2020-01-01T01:00:00+00:00,A9,105,110,14.620047592,175,0.083543129
2020-01-01T01:00:00+00:00,AB1,107,203,-24.810184207,175,0.141772481
2020-01-01T01:00:00+00:00,AB2,113,215,122.067272295,500,0.244134545
2020-01-01T01:00:00+00:00,AB3,123,217,213.551937189,500,0.427103874
2020-01-01T01:00:00+00:00,B1,201,202,-3.814154223,175,0.021795167
2020-01-01T01:00:00+00:00,B10,206,210,-38.888364061,175,0.222219223
2020-01-01T01:00:00+00:00,B11,207,208,-47.497245395,175,0.271412831
2020-01-01T01:00:00+00:00,B12-1,208,209,-60.772951607,175,0.347274009
2020-01-01T01:00:00+00:00,B13-2,208,210,-51.700525488,175,0.295431574
2020-01-01T01:00:00+00:00,B14,209,211,-58.446898486,400,0.146117246
2020-01-01T01:00:00+00:00,B15,209,212,-82.128151395,400,0.205320378
2020-01-01T01:00:00+00:00,B16,210,211,-76.86812065,400,0.192170302
2020-01-01T01:00:00+00:00,B17,210,212,-100.899342814,400,0.252248357
2020-01-01T01:00:00+00:00,B18,211,213,-59.236054354,500,0.118472109
2020-01-01T01:00:00+00:00,B19,211,214,-76.078964782,500,0.15215793
2020-01-01T01:00:00+00:00,B2,201,203,-11.619030083,175,0.066394458
2020-01-01T01:00:00+00:00,B20,212,213,-16.550595986,500,0.033101192
2020-01-01T01:00:00+00:00,B21,212,223,-166.476898222,500,0.332953796
2020-01-01T01:00:00+00:00,B22,213,223,-176.480810577,500,0.352961621
2020-01-01T01:00:00+00:00,B23,214,216,-149.794689634,500,0.299589379
2020-01-01T01:00:00+00:00,B24,215,216,-34.215201247,500,0.068430402
2020-01-01T01:00:00+00:00,B25-1,215,221,-24.384429284,500,0.048768859
2020-01-01T01:00:00+00:00,B25-2,215,221,-24.384429284,500,0.048768859
2020-01-01T01:00:00+00:00,B26,215,224,113.098317788,500,0.226196636
2020-01-01T01:00:00+00:00,B27,216,217,-95.25041689,500,0.190500834
2020-01-01T01:00:00+00:00,B28,216,219,-64.757270307,500,0.129514541
2020-01-01T01:00:00+00:00,B29,217,218,129.935438072,500,0.259870876
2020-01-01T01:00:00+00:00,B3,201,205,13.895564285,175,0.079403224
2020-01-01T01:00:00+00:00,B30,217,222,-11.633917772,500,0.023267836
2020-01-01T01:00:00+00:00,B31-1,218,221,1.70138817,500,0.003402776
2020-01-01T01:00:00+00:00,B31-2,218,221,1.70138817,500,0.003402776
2020-01-01T01:00:00+00:00,B32-1,219,220,-66.766640819,500,0.133533282
2020-01-01T01:00:00+00:00,B32-2,219,220,-66.766640819,500,0.133533282
