run_id,hour_index,timestamp,generator_row,generator_uid,bus,online,adjustable_active_power,target_pg_mw,pg_mw,pg_deviation_mw,pmin_mw,pmax_mw,qg_mvar,qmin_mvar,qmax_mvar,source_vg_pu,output_vg_pu,optimized_bus_vm_pu
original_source,0,2020-01-01T00:00:00+00:00,0,101_CT_1,101,false,false,0,0,0,0,0,0,0,10,1.0468,1.0468,1.0168934618324268
original_source,0,2020-01-01T00:00:00+00:00,1,101_CT_2,101,false,false,0,0,0,0,0,0,0,10,1.0468,1.0468,1.0168934618324268
original_source,0,2020-01-01T00:00:00+00:00,2,101_STEAM_3,101,true,true,47.347684137000002,55.172133344742463,7.824449207742461,30,76,-24.999998435796858,-25,30,1.0468,1.0168934618324268,1.0168934618324268
original_source,0,2020-01-01T00:00:00+00:00,3,101_STEAM_4,101,true,true,45.333333328000002,53.157782536126945,7.8244492081269428,30,76,-24.999998435796858,-25,30,1.0468,1.0168934618324268,1.0168934618324268
original_source,0,2020-01-01T00:00:00+00:00,4,102_CT_1,102,false,false,0,0,0,0,0,0,0,10,1.0467,1.0467,1.0162083487262754
original_source,0,2020-01-01T00:00:00+00:00,5,102_CT_2,102,false,false,0,0,0,0,0,0,0,10,1.0467,1.0467,1.0162083487262754
original_source,0,2020-01-01T00:00:00+00:00,6,102_STEAM_3,102,true,true,30,37.836067952121482,7.836067952121482,30,76,-24.999998443539113,-25,30,1.0467,1.0162083487262754,1.0162083487262754
original_source,0,2020-01-01T00:00:00+00:00,7,102_STEAM_4,102,true,true,30,37.836067952121482,7.836067952121482,30,76,-24.999998443539113,-25,30,1.0467,1.0162083487262754,1.0162083487262754
original_source,0,2020-01-01T00:00:00+00:00,8,107_CC_1,107,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,0.99605489930641999
original_source,0,2020-01-01T00:00:00+00:00,9,113_CT_1,113,false,false,0,0,0,0,0,0,-15,19,1.0347,1.0347,1.0093314800456679
original_source,0,2020-01-01T00:00:00+00:00,10,113_CT_2,113,false,false,0,0,0,0,0,0,-15,19,1.0347,1.0347,1.0093314800456679
original_source,0,2020-01-01T00:00:00+00:00,11,113_CT_3,113,false,false,0,0,0,0,0,0,-15,19,1.0347,1.0347,1.0093314800456679
original_source,0,2020-01-01T00:00:00+00:00,12,113_CT_4,113,false,false,0,0,0,0,0,0,-15,19,1.0347,1.0347,1.0093314800456679
original_source,0,2020-01-01T00:00:00+00:00,13,115_STEAM_1,115,false,false,0,0,0,0,0,0,0,6,1.0427999999999999,1.0427999999999999,1.0354315411416573
original_source,0,2020-01-01T00:00:00+00:00,14,115_STEAM_2,115,false,false,0,0,0,0,0,0,0,6,1.0427999999999999,1.0427999999999999,1.0354315411416573
original_source,0,2020-01-01T00:00:00+00:00,15,115_STEAM_3,115,true,true,62,69.678132868587355,7.6781328685873547,62,155,79.999994729531963,-50,80,1.0427999999999999,1.0354315411416573,1.0354315411416573
original_source,0,2020-01-01T00:00:00+00:00,16,116_STEAM_1,116,false,false,0,0,0,0,0,0,-50,80,1.0461,1.0461,1.0221156902682818
original_source,0,2020-01-01T00:00:00+00:00,17,118_CC_1,118,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,1.0391658999904514
original_source,0,2020-01-01T00:00:00+00:00,18,123_STEAM_2,123,true,true,62,69.966150780251738,7.9661507802517377,62,155,-24.088106140526726,-50,80,1.05,1.0144678254699575,1.0144678254699575
original_source,0,2020-01-01T00:00:00+00:00,19,123_STEAM_3,123,true,true,140,147.96615078059224,7.966150780592244,140,350,2.9464503353307565,-25,150,1.05,1.0144678254699575,1.0144678254699575
original_source,0,2020-01-01T00:00:00+00:00,20,123_CT_1,123,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0144678254699575
original_source,0,2020-01-01T00:00:00+00:00,21,123_CT_4,123,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0144678254699575
original_source,0,2020-01-01T00:00:00+00:00,22,123_CT_5,123,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0144678254699575
original_source,0,2020-01-01T00:00:00+00:00,23,201_CT_1,201,false,false,0,0,0,0,0,0,0,10,1.05,1.05,1.0194120630943693
original_source,0,2020-01-01T00:00:00+00:00,24,201_CT_2,201,false,false,0,0,0,0,0,0,0,10,1.05,1.05,1.0194120630943693
original_source,0,2020-01-01T00:00:00+00:00,25,201_STEAM_3,201,false,false,0,0,0,0,0,0,-25,30,1.05,1.05,1.0194120630943693
original_source,0,2020-01-01T00:00:00+00:00,26,202_CT_1,202,false,false,0,0,0,0,0,0,0,10,1.05,1.05,1.0181171804567208
original_source,0,2020-01-01T00:00:00+00:00,27,202_CT_2,202,false,false,0,0,0,0,0,0,0,10,1.05,1.05,1.0181171804567208
original_source,0,2020-01-01T00:00:00+00:00,28,202_STEAM_3,202,true,true,30,38.703003499111354,8.7030034991113538,30,76,-24.729335055948209,-25,30,1.05,1.0181171804567208,1.0181171804567208
original_source,0,2020-01-01T00:00:00+00:00,29,202_STEAM_4,202,true,true,30,38.703003499111354,8.7030034991113538,30,76,-24.729335055948209,-25,30,1.05,1.0181171804567208,1.0181171804567208
original_source,0,2020-01-01T00:00:00+00:00,30,207_CT_1,207,false,false,0,0,0,0,0,0,-15,19,0.96989999999999998,0.96989999999999998,0.97698603244605686
original_source,0,2020-01-01T00:00:00+00:00,31,207_CT_2,207,false,false,0,0,0,0,0,0,-15,19,0.96989999999999998,0.96989999999999998,0.97698603244605686
original_source,0,2020-01-01T00:00:00+00:00,32,213_CC_3,213,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,1.0070591139070353
original_source,0,2020-01-01T00:00:00+00:00,33,213_CT_1,213,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0070591139070353
original_source,0,2020-01-01T00:00:00+00:00,34,213_CT_2,213,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0070591139070353
original_source,0,2020-01-01T00:00:00+00:00,35,215_CT_4,215,false,false,0,0,0,0,0,0,-15,19,1.0437000000000001,1.0437000000000001,1.006119864838398
original_source,0,2020-01-01T00:00:00+00:00,36,215_CT_5,215,false,false,0,0,0,0,0,0,-15,19,1.0437000000000001,1.0437000000000001,1.006119864838398
original_source,0,2020-01-01T00:00:00+00:00,37,216_STEAM_1,216,true,true,62,70.37539626451418,8.3753962645141797,62,155,29.736092302982303,-50,80,1.0472999999999999,1.01065296094549,1.01065296094549
original_source,0,2020-01-01T00:00:00+00:00,38,218_CC_1,218,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,1.0062985598307961
original_source,0,2020-01-01T00:00:00+00:00,39,221_CC_1,221,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,1.0086251915644764
original_source,0,2020-01-01T00:00:00+00:00,40,223_STEAM_1,223,true,true,62,70.270168371242221,8.2701683712422209,62,155,10.509118409127797,-50,80,1.05,1.0288652529384812,1.0288652529384812
original_source,0,2020-01-01T00:00:00+00:00,41,223_STEAM_2,223,true,true,62,70.270168371242221,8.2701683712422209,62,155,10.509118409127797,-50,80,1.05,1.0288652529384812,1.0288652529384812
original_source,0,2020-01-01T00:00:00+00:00,42,223_STEAM_3,223,true,true,140,148.27016837158448,8.2701683715844752,140,350,54.393144307683677,-25,150,1.05,1.0288652529384812,1.0288652529384812
original_source,0,2020-01-01T00:00:00+00:00,43,223_CT_4,223,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0288652529384812
original_source,0,2020-01-01T00:00:00+00:00,44,223_CT_5,223,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0288652529384812
original_source,0,2020-01-01T00:00:00+00:00,45,223_CT_6,223,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0288652529384812
original_source,0,2020-01-01T00:00:00+00:00,46,301_CT_1,301,false,false,0,0,0,0,0,0,0,10,1.05,1.05,1.0333345177615956
original_source,0,2020-01-01T00:00:00+00:00,47,301_CT_2,301,false,false,0,0,0,0,0,0,0,10,1.05,1.05,1.0333345177615956
original_source,0,2020-01-01T00:00:00+00:00,48,301_CT_3,301,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0333345177615956
original_source,0,2020-01-01T00:00:00+00:00,49,301_CT_4,301,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0333345177615956
original_source,0,2020-01-01T00:00:00+00:00,50,302_CT_1,302,false,false,0,0,0,0,0,0,0,10,1.05,1.05,1.0339652165467037
original_source,0,2020-01-01T00:00:00+00:00,51,302_CT_2,302,false,false,0,0,0,0,0,0,0,10,1.05,1.05,1.0339652165467037
original_source,0,2020-01-01T00:00:00+00:00,52,302_CT_3,302,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0339652165467037
original_source,0,2020-01-01T00:00:00+00:00,53,302_CT_4,302,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0339652165467037
original_source,0,2020-01-01T00:00:00+00:00,54,307_CT_1,307,false,false,0,0,0,0,0,0,-15,19,0.95679999999999998,0.95679999999999998,0.96472856620618164
original_source,0,2020-01-01T00:00:00+00:00,55,307_CT_2,307,false,false,0,0,0,0,0,0,-15,19,0.95679999999999998,0.95679999999999998,0.96472856620618164
original_source,0,2020-01-01T00:00:00+00:00,56,313_CC_1,313,false,false,0,0,0,0,0,0,-25,150,1.0349999999999999,1.0349999999999999,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,57,315_STEAM_1,315,false,false,0,0,0,0,0,0,0,6,1.0422,1.0422,1.0192419766906884
original_source,0,2020-01-01T00:00:00+00:00,58,315_STEAM_2,315,false,false,0,0,0,0,0,0,0,6,1.0422,1.0422,1.0192419766906884
original_source,0,2020-01-01T00:00:00+00:00,59,315_STEAM_3,315,false,false,0,0,0,0,0,0,0,6,1.0422,1.0422,1.0192419766906884
original_source,0,2020-01-01T00:00:00+00:00,60,315_STEAM_4,315,false,false,0,0,0,0,0,0,0,6,1.0422,1.0422,1.0192419766906884
original_source,0,2020-01-01T00:00:00+00:00,61,315_STEAM_5,315,false,false,0,0,0,0,0,0,0,6,1.0422,1.0422,1.0192419766906884
original_source,0,2020-01-01T00:00:00+00:00,62,315_CT_6,315,false,false,0,0,0,0,0,0,-15,19,1.0422,1.0422,1.0192419766906884
original_source,0,2020-01-01T00:00:00+00:00,63,315_CT_7,315,false,false,0,0,0,0,0,0,-15,19,1.0422,1.0422,1.0192419766906884
original_source,0,2020-01-01T00:00:00+00:00,64,315_CT_8,315,false,false,0,0,0,0,0,0,0,60,1.0422,1.0422,1.0192419766906884
original_source,0,2020-01-01T00:00:00+00:00,65,316_STEAM_1,316,true,true,62,69.79714068502669,7.7971406850266902,62,155,15.872472300694868,-50,80,1.0448999999999999,1.0176666433127797,1.0176666433127797
original_source,0,2020-01-01T00:00:00+00:00,66,318_CC_1,318,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,1.023366625668886
original_source,0,2020-01-01T00:00:00+00:00,67,321_CC_1,321,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,1.0256917935181238
original_source,0,2020-01-01T00:00:00+00:00,68,322_CT_5,322,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0415924460471158
original_source,0,2020-01-01T00:00:00+00:00,69,322_CT_6,322,false,false,0,0,0,0,0,0,-15,19,1.05,1.05,1.0415924460471158
original_source,0,2020-01-01T00:00:00+00:00,70,323_CC_1,323,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,1.0208465089536349
original_source,0,2020-01-01T00:00:00+00:00,71,323_CC_2,323,false,false,0,0,0,0,0,0,-25,150,1.05,1.05,1.0208465089536349
original_source,0,2020-01-01T00:00:00+00:00,72,114_SYNC_COND_1,114,true,false,0,0,0,0,0,-49.341043847469962,-50,200,1.0441,0.99411330347479443,0.99411330347479443
original_source,0,2020-01-01T00:00:00+00:00,73,121_NUCLEAR_1,121,true,true,400,400.00000000335842,3.3584228731342591e-09,396,400,174.36580714166871,-50,200,1.05,1.0499999998063649,1.0499999998063649
original_source,0,2020-01-01T00:00:00+00:00,74,122_HYDRO_1,122,true,false,4.2000000000000002,4.2000000000000002,0,4.2000000000000002,4.2000000000000002,-1.6333351017157407,-10,16,1.05,1.0500000098295719,1.0500000098295719
original_source,0,2020-01-01T00:00:00+00:00,75,122_HYDRO_2,122,true,false,4.2000000000000002,4.2000000000000002,0,4.2000000000000002,4.2000000000000002,-1.6333351017157418,-10,16,1.05,1.0500000098295719,1.0500000098295719
original_source,0,2020-01-01T00:00:00+00:00,76,122_HYDRO_3,122,true,false,4.2000000000000002,4.2000000000000002,0,4.2000000000000002,4.2000000000000002,-1.6333351017157409,-10,16,1.05,1.0500000098295719,1.0500000098295719
original_source,0,2020-01-01T00:00:00+00:00,77,122_HYDRO_4,122,true,false,4.2000000000000002,4.2000000000000002,0,4.2000000000000002,4.2000000000000002,-1.6333351017157429,-10,16,1.05,1.0500000098295719,1.0500000098295719
original_source,0,2020-01-01T00:00:00+00:00,78,122_HYDRO_5,122,true,false,4.2000000000000002,4.2000000000000002,0,4.2000000000000002,4.2000000000000002,-1.6333351017157409,-10,16,1.05,1.0500000098295719,1.0500000098295719
original_source,0,2020-01-01T00:00:00+00:00,79,122_HYDRO_6,122,true,false,4.2000000000000002,4.2000000000000002,0,4.2000000000000002,4.2000000000000002,-1.633335101715742,-10,16,1.05,1.0500000098295719,1.0500000098295719
original_source,0,2020-01-01T00:00:00+00:00,80,201_HYDRO_4,201,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-9.9999941443762648,-10,16,1.05,1.0194120630943693,1.0194120630943693
original_source,0,2020-01-01T00:00:00+00:00,81,214_SYNC_COND_1,214,true,false,0,0,0,0,0,-6.9412782265527744,-50,200,1.05,1.001557223296264,1.001557223296264
original_source,0,2020-01-01T00:00:00+00:00,82,215_HYDRO_1,215,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-1.9662670808285918,-10,16,1.0437000000000001,1.006119864838398,1.006119864838398
original_source,0,2020-01-01T00:00:00+00:00,83,215_HYDRO_2,215,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-1.966267080828592,-10,16,1.0437000000000001,1.006119864838398,1.006119864838398
original_source,0,2020-01-01T00:00:00+00:00,84,215_HYDRO_3,215,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-1.966267080828592,-10,16,1.0437000000000001,1.006119864838398,1.006119864838398
original_source,0,2020-01-01T00:00:00+00:00,85,222_HYDRO_1,222,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-2.5558375630210537,-10,16,1.05,1.0129022936576833,1.0129022936576833
original_source,0,2020-01-01T00:00:00+00:00,86,222_HYDRO_2,222,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-2.5558375630210546,-10,16,1.05,1.0129022936576833,1.0129022936576833
original_source,0,2020-01-01T00:00:00+00:00,87,222_HYDRO_3,222,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-2.5558375630210546,-10,16,1.05,1.0129022936576833,1.0129022936576833
original_source,0,2020-01-01T00:00:00+00:00,88,222_HYDRO_4,222,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-2.5558375630210546,-10,16,1.05,1.0129022936576833,1.0129022936576833
original_source,0,2020-01-01T00:00:00+00:00,89,222_HYDRO_5,222,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-2.555837563021055,-10,16,1.05,1.0129022936576833,1.0129022936576833
original_source,0,2020-01-01T00:00:00+00:00,90,222_HYDRO_6,222,true,false,9.3000000000000007,9.3000000000000007,0,9.3000000000000007,9.3000000000000007,-2.5558375630210546,-10,16,1.05,1.0129022936576833,1.0129022936576833
original_source,0,2020-01-01T00:00:00+00:00,91,314_SYNC_COND_1,314,true,false,0,0,0,0,0,-49.999999240177388,-50,200,1.05,0.99248254693493376,0.99248254693493376
original_source,0,2020-01-01T00:00:00+00:00,92,322_HYDRO_1,322,true,false,16.5,16.5,0,16.5,16.5,2.2820062298133847,-10,16,1.05,1.0415924460471158,1.0415924460471158
original_source,0,2020-01-01T00:00:00+00:00,93,322_HYDRO_2,322,true,false,16.5,16.5,0,16.5,16.5,2.2820062298133834,-10,16,1.05,1.0415924460471158,1.0415924460471158
original_source,0,2020-01-01T00:00:00+00:00,94,322_HYDRO_3,322,true,false,16.5,16.5,0,16.5,16.5,2.2820062298133839,-10,16,1.05,1.0415924460471158,1.0415924460471158
original_source,0,2020-01-01T00:00:00+00:00,95,322_HYDRO_4,322,true,false,16.5,16.5,0,16.5,16.5,2.2820062298133839,-10,16,1.05,1.0415924460471158,1.0415924460471158
original_source,0,2020-01-01T00:00:00+00:00,96,320_PV_1,320,true,false,0,0,0,0,0,0,0,0,1,1.0189442277842362,1.0189442277842362
original_source,0,2020-01-01T00:00:00+00:00,97,314_PV_1,314,true,false,0,0,0,0,0,0,0,0,1.05,0.99248254693493376,0.99248254693493376
original_source,0,2020-01-01T00:00:00+00:00,98,314_PV_2,314,true,false,0,0,0,0,0,0,0,0,1.05,0.99248254693493376,0.99248254693493376
original_source,0,2020-01-01T00:00:00+00:00,99,313_PV_1,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,100,314_PV_3,314,true,false,0,0,0,0,0,0,0,0,1.05,0.99248254693493376,0.99248254693493376
original_source,0,2020-01-01T00:00:00+00:00,101,314_PV_4,314,true,false,0,0,0,0,0,0,0,0,1.05,0.99248254693493376,0.99248254693493376
original_source,0,2020-01-01T00:00:00+00:00,102,313_PV_2,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,103,310_PV_1,310,true,false,0,0,0,0,0,0,0,0,1,1.050000009906866,1.050000009906866
original_source,0,2020-01-01T00:00:00+00:00,104,324_PV_1,324,true,false,0,0,0,0,0,0,0,0,1,1.026314713614441,1.026314713614441
original_source,0,2020-01-01T00:00:00+00:00,105,312_PV_1,312,true,false,0,0,0,0,0,0,0,0,1,1.0127193921134117,1.0127193921134117
original_source,0,2020-01-01T00:00:00+00:00,106,310_PV_2,310,true,false,0,0,0,0,0,0,0,0,1,1.050000009906866,1.050000009906866
original_source,0,2020-01-01T00:00:00+00:00,107,324_PV_2,324,true,false,0,0,0,0,0,0,0,0,1,1.026314713614441,1.026314713614441
original_source,0,2020-01-01T00:00:00+00:00,108,324_PV_3,324,true,false,0,0,0,0,0,0,0,0,1,1.026314713614441,1.026314713614441
original_source,0,2020-01-01T00:00:00+00:00,109,113_PV_1,113,true,false,0,0,0,0,0,0,0,0,1,1.0093314800456679,1.0093314800456679
original_source,0,2020-01-01T00:00:00+00:00,110,319_PV_1,319,true,false,0,0,0,0,0,0,0,0,1,1.0165576931293923,1.0165576931293923
original_source,0,2020-01-01T00:00:00+00:00,111,215_PV_1,215,true,false,0,0,0,0,0,0,0,0,1.0437000000000001,1.006119864838398,1.006119864838398
original_source,0,2020-01-01T00:00:00+00:00,112,102_PV_1,102,true,false,0,0,0,0,0,0,0,0,1.0467,1.0162083487262754,1.0162083487262754
original_source,0,2020-01-01T00:00:00+00:00,113,101_PV_1,101,true,false,0,0,0,0,0,0,0,0,1.0468,1.0168934618324268,1.0168934618324268
original_source,0,2020-01-01T00:00:00+00:00,114,102_PV_2,102,true,false,0,0,0,0,0,0,0,0,1.0467,1.0162083487262754,1.0162083487262754
original_source,0,2020-01-01T00:00:00+00:00,115,104_PV_1,104,true,false,0,0,0,0,0,0,0,0,1,1.0153077253231135,1.0153077253231135
original_source,0,2020-01-01T00:00:00+00:00,116,212_CSP_1,212,false,false,0,0,0,0,0,0,0,0,1,1,1.0097095657718484
original_source,0,2020-01-01T00:00:00+00:00,117,101_PV_2,101,true,false,0,0,0,0,0,0,0,0,1.0468,1.0168934618324268,1.0168934618324268
original_source,0,2020-01-01T00:00:00+00:00,118,101_PV_3,101,true,false,0,0,0,0,0,0,0,0,1.0468,1.0168934618324268,1.0168934618324268
original_source,0,2020-01-01T00:00:00+00:00,119,101_PV_4,101,true,false,0,0,0,0,0,0,0,0,1.0468,1.0168934618324268,1.0168934618324268
original_source,0,2020-01-01T00:00:00+00:00,120,103_PV_1,103,true,false,0,0,0,0,0,0,0,0,1,1.0269833400523676,1.0269833400523676
original_source,0,2020-01-01T00:00:00+00:00,121,119_PV_1,119,true,false,0,0,0,0,0,0,0,0,1,1.0155308683755573,1.0155308683755573
original_source,0,2020-01-01T00:00:00+00:00,122,308_RTPV_1,308,true,false,0,0,0,0,0,0,0,0,1,0.98080373318738467,0.98080373318738467
original_source,0,2020-01-01T00:00:00+00:00,123,313_RTPV_1,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,124,313_RTPV_2,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,125,313_RTPV_3,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,126,313_RTPV_4,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,127,313_RTPV_5,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,128,313_RTPV_6,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,129,313_RTPV_7,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,130,313_RTPV_8,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,131,313_RTPV_9,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
original_source,0,2020-01-01T00:00:00+00:00,132,313_RTPV_10,313,true,false,0,0,0,0,0,0,0,0,1,1.006925715621579,1.006925715621579
