hour_index,timestamp,mode,bus,bus_type,pd_mw,qd_mvar,gs_mw_at_1pu,bs_mvar_at_1pu,vm_pu,va_degree,p_balance_residual_mw,q_balance_residual_mvar
0,2020-01-01T00:00:00+00:00,distributed_committable,101,2,37.32706581,7.603661554,0,0,1.01689355,-2.896280529,-0.000000003,0.000000001
0,2020-01-01T00:00:00+00:00,distributed_committable,102,2,33.525235033,6.912419594,0,0,1.016208433,-3.11291048,-0,0
0,2020-01-01T00:00:00+00:00,distributed_committable,103,1,62.211776349,12.78797625,0,0,1.026983515,-1.941240035,-0.000000042,-0
0,2020-01-01T00:00:00+00:00,distributed_committable,104,1,25.575952499,5.184314696,0,0,1.015307769,-5.555015318,-0,0
0,2020-01-01T00:00:00+00:00,distributed_committable,105,1,24.53908956,4.838693716,0,0,1.028725003,-5.643065897,-0.000000001,0
0,2020-01-01T00:00:00+00:00,distributed_committable,106,1,47.004453242,9.677387432,0,-100,1.043876837,-7.571074278,-0,0
0,2020-01-01T00:00:00+00:00,distributed_committable,107,1,43.202622465,8.640524493,0,0,0.996052035,-15.296924869,0.000000022,-0.000000041
0,2020-01-01T00:00:00+00:00,distributed_committable,108,1,59.101187532,12.09673429,0,0,1.002787639,-12.695455564,0.000000024,-0.00000003
0,2020-01-01T00:00:00+00:00,distributed_committable,109,1,60.483671451,12.44235527,0,0,1.024218755,-6.102551765,0.00000002,-0.000000009
0,2020-01-01T00:00:00+00:00,distributed_committable,110,1,67.396091045,13.824839189,0,0,1.049999999,-7.282991699,0.000000034,-0.000000013
0,2020-01-01T00:00:00+00:00,distributed_committable,111,1,0,0,0,0,1.004686976,-4.155577404,-0.000001772,0.000000247
0,2020-01-01T00:00:00+00:00,distributed_committable,112,1,0,0,0,0,1.013194254,-4.974851962,-0.000000713,0.000000088
0,2020-01-01T00:00:00+00:00,distributed_committable,113,1,-8.410440375,18.663532905,0,0,1.009321304,-5.090392781,0.00000005,0.000000019
0,2020-01-01T00:00:00+00:00,distributed_committable,114,2,67.050470066,13.479218209,0,0,0.994151254,-0.64426156,-0.000000407,-0.000034508
0,2020-01-01T00:00:00+00:00,distributed_committable,115,3,109.561850571,22.119742702,0,0,1.035431943,7.9597,-0.000000648,0.000000079
0,2020-01-01T00:00:00+00:00,distributed_committable,116,1,34.562097972,6.912419594,0,0,1.022116696,6.252789971,-0.000002891,-0.000000081
0,2020-01-01T00:00:00+00:00,distributed_committable,117,1,0,0,0,0,1.03146826,10.91523054,-0.000000092,-0.00000002
0,2020-01-01T00:00:00+00:00,distributed_committable,118,1,115.091786247,23.502226621,0,0,1.039165822,11.436364045,-0.000000438,0.000000004
0,2020-01-01T00:00:00+00:00,distributed_committable,119,1,62.557397329,12.78797625,0,0,1.015519053,2.765168332,-0.000000404,-0.000000048
0,2020-01-01T00:00:00+00:00,distributed_committable,120,1,44.239485404,8.986145473,0,0,1.01445548,0.405139013,-0.000000417,-0.000000023
0,2020-01-01T00:00:00+00:00,distributed_committable,121,2,0,0,0,0,1.049999598,12.693663614,0.000001531,-0.00000656
0,2020-01-01T00:00:00+00:00,distributed_committable,122,2,0,0,0,0,1.049999998,25.600411519,0.000000193,0.000000007
0,2020-01-01T00:00:00+00:00,distributed_committable,123,2,0,0,0,0,1.014438527,-0.621175453,0.000003171,-0.000012904
0,2020-01-01T00:00:00+00:00,distributed_committable,124,1,0,0,0,0,1.019957098,4.244409065,-0.000000078,0.000000014
0,2020-01-01T00:00:00+00:00,distributed_committable,201,2,41.785613091,8.511884148,0,0,1.019435046,-21.465178807,-0.000001791,-0.000000822
0,2020-01-01T00:00:00+00:00,distributed_committable,202,2,37.529671016,7.738076498,0,0,1.018143645,-21.280611037,0.000002563,-0.000015062
0,2020-01-01T00:00:00+00:00,distributed_committable,203,1,69.642688484,14.315441522,0,0,1.009833031,-18.285170896,-0.000001207,0.000000032
0,2020-01-01T00:00:00+00:00,distributed_committable,204,1,28.630883044,5.803557374,0,0,1.013886128,-21.692987994,-0.000001173,0.000000162
0,2020-01-01T00:00:00+00:00,distributed_committable,205,1,27.470171569,5.416653549,0,0,1.030161517,-22.233869136,-0.000001086,0.000000149
0,2020-01-01T00:00:00+00:00,distributed_committable,206,1,52.618920188,10.833307098,0,-100,1.044025159,-23.040903926,-0.000000951,0.00000015
0,2020-01-01T00:00:00+00:00,distributed_committable,207,1,48.362978114,9.672595623,0,0,0.97698378,-27.841262625,-0.000000007,0.000000001
0,2020-01-01T00:00:00+00:00,distributed_committable,208,1,66.16055406,13.541633872,0,0,0.990853918,-26.178847184,-0.000000014,0.000000002
0,2020-01-01T00:00:00+00:00,distributed_committable,209,1,67.70816936,13.928537697,0,0,1.02098317,-20.420668488,-0.000000461,0.000000032
0,2020-01-01T00:00:00+00:00,distributed_committable,210,1,75.446245858,15.476152996,0,0,1.049999994,-21.763556653,-0.000000815,0.000000089
0,2020-01-01T00:00:00+00:00,distributed_committable,211,1,0,0,0,0,1.00577626,-17.943325563,-0.000001136,0.000000129
0,2020-01-01T00:00:00+00:00,distributed_committable,212,1,0,0,0,0,1.009701228,-16.896328728,-0.000001015,0.00000012
