hour_index,timestamp,mode,state_id,zero_data_center,dc_bus_api_placeholder,reference_bus,reference_generator_uid,active_power_envelope,adjustable_generator_count,fixed_generator_count,source_case_sha256,recovery_case_sha256,native_grid_demand_mw,native_reactive_demand_mvar,hvdc_dc1_flow_mw,dc_flow_reconstruction_residual_mw,evaluated,solver_success,independent_audit_passed,recovered,status,solver_error_type,solver_error_message,solver_algorithm,solver_elapsed_seconds,solver_iterations,solver_message,solver_final_feasibility_condition,solver_final_gradient_condition,solver_final_complementarity_condition,solver_final_cost_condition,solver_objective_mw2,independent_objective_mw2,objective_mismatch_mw2,squared_target_deviation_mw2,l1_target_deviation_mw,l2_target_deviation_mw,max_target_deviation_mw,total_up_redispatch_mw,total_down_redispatch_mw,reference_redispatch_mw,total_generation_mw,total_active_demand_mw,ac_losses_mw,max_active_power_bound_violation_mw,max_reactive_power_bound_violation_mvar,max_offline_pg_mw,max_offline_qg_mvar,max_offline_branch_flow_mva,max_voltage_violation_pu,max_branch_loading_fraction,max_branch_loading_violation_fraction,max_fixed_pg_deviation_mw,max_p_balance_residual_mw,max_q_balance_residual_mvar,max_source_vg_to_optimized_vm_adjustment_pu,max_output_vg_bus_vm_mismatch_pu,solver_input_case_unchanged,recovery_input_fixed_fields_preserved,solver_result_fixed_fields_preserved
0,2020-01-01T00:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,162cb0988716c56aa16656040adea0e1de11fcef6e53e608ae432b1bf5d51ee8,fbf1d231f62699ef42dfa5e4ff71de76d57fb51f0fc6a1068e43bfef54b27fc6,3337.3318842,679.176313276,-100.000000001,0.000000001,true,false,false,false,not_recovered_by_local_solver,,,560,0.299074173,13,Numerically failed,0.005026636,0.999368788,41760972.776329719,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
0,2020-01-01T00:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,162cb0988716c56aa16656040adea0e1de11fcef6e53e608ae432b1bf5d51ee8,a027db14de5da2ecc67a6350e98bd4e14fd65960de705cfe4d068427e317f6ae,3337.3318842,679.176313276,-100.000000001,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.377902508,17,Converged,0.000000007,0.000000035,0.000000018,0.000000012,918.738921006,918.738921006,0,918.738921006,113.320508677,30.310706376,8.703008633,113.320508587,0.00000009,7.678145621,3450.652392697,3337.3318842,113.320508497,0,0,0,0,0,0,0.971165067,0,0,0.000003171,0.000034508,0.057517287,0,true,true,true
1,2020-01-01T01:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,cea0a0dce171e05c504601a464b711cbeba57a961db7e97c350bbc898dd5e2c5,ec8301ddba3a9036b5f6f78feed84141c9d32dd57dd7003da75dc78149e64880,3261.0458227,663.651430585,-100,0,true,false,false,false,not_recovered_by_local_solver,,,560,0.332981586,12,Numerically failed,0.00463598,0.561243346,169.767019633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
1,2020-01-01T01:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,cea0a0dce171e05c504601a464b711cbeba57a961db7e97c350bbc898dd5e2c5,70b2930cfe6a534f2dcaeaae637af04e549b95e752fd54aeed11ad6a088bc70c,3261.0458227,663.651430585,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.40884161,19,Converged,0.000000002,0.000000027,0.000000015,0.00000001,1134.934673774,1134.934673774,0,1134.934673774,121.178931452,33.688791515,12.322990341,121.178931399,0.000000053,12.322990341,3382.224754046,3261.0458227,121.178931346,0,0,0,0,0,0,1,0,0,0.000002977,0.000009012,0.099999995,0,true,true,true
2,2020-01-01T02:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,850f2ab2d1ddba4fc562cdc5deaa815a9fee8628af517c2b0035004987d588c8,b919a12c863140eb83626f56ac6dc20060d35659d164d11d8f5a3a384325fb7d,3247.17265,660.828118246,-99.999999999,0,true,false,false,false,not_recovered_by_local_solver,,,560,0.267435074,12,Numerically failed,0.00431335,0.553325925,164.6913629,0.000000183,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
2,2020-01-01T02:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,850f2ab2d1ddba4fc562cdc5deaa815a9fee8628af517c2b0035004987d588c8,66ef2160d516837fbaf57b81e4fe232157689f51444548cc906423bfda987877,3247.17265,660.828118246,-99.999999999,0,true,true,true,true,recovered_by_local_solver,,,560,0.358394861,16,Converged,0.000000005,0.000000057,0.000000016,0.000000001,858.049365476,858.049365476,0,858.049365476,109.528068145,29.292479674,8.369132734,109.528068066,0.00000008,7.412089763,3356.700717986,3247.17265,109.528067986,0,0,0,0,0,0,0.966278052,0,0,0.000004354,0.000023296,0.064109939,0,true,true,true
3,2020-01-01T03:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,86d65d256bfa812688a24c09ad7e0fa5cdf9277106a8638aa79bc867a8afc986,62db29581fb8243673dcb934eb1b3cf18a78ed6925b8f1dbcfaad664bce32ee6,3264.598321,664.374395151,-100,0.000000002,true,false,false,false,not_recovered_by_local_solver,,,560,0.296421766,13,Numerically failed,0.0039311,0.999408678,418220.062961293,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
3,2020-01-01T03:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,86d65d256bfa812688a24c09ad7e0fa5cdf9277106a8638aa79bc867a8afc986,7f3643c7b531fe46776cc75d4f41c470f19d46ebd664380f35ff522056a7629e,3264.598321,664.374395151,-100,0.000000002,true,true,true,true,recovered_by_local_solver,,,560,0.429726839,17,Converged,0.000000005,0.000000053,0.000000018,0.000000075,831.154323749,831.154323749,0,831.154323749,107.797267455,28.829747202,8.238690156,107.797267363,0.000000093,7.307834751,3372.39558827,3264.598321,107.79726727,0,0,0,0,0,0,0.867725036,0,0,0.000004503,0.000023829,0.06857727,0,true,true,true
4,2020-01-01T04:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,463f70671088ce67184e0a8d041093ee2e2b1642cae9e6384fb9752e075bc48a,3734619c473c20f828f1427b7b8744820ebc8b2db0b72494776c1e77edcbdcc4,3402.858433,692.511540751,-100,0,true,false,false,false,not_recovered_by_local_solver,,,560,0.276025772,12,Numerically failed,0.003593682,0.99400647,7380.210692333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
4,2020-01-01T04:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,463f70671088ce67184e0a8d041093ee2e2b1642cae9e6384fb9752e075bc48a,9889b4d12aa37e11eead803e3b6aa85f2220225c8a3efa5e61fc62baab464b2c,3402.858433,692.511540751,-100,0,true,true,true,true,recovered_by_local_solver,,,560,0.347952366,16,Converged,0.000000001,0.000000008,0.000000033,0.000000058,939.903498455,939.903498455,0,939.903498455,106.117626782,30.657845626,9.446261856,106.117626187,0.000000595,8.412699893,3508.976058593,3402.858433,106.117625593,0,0,0,0,0,0,0.832615122,0,0,0.000000902,0.000003123,0.068339728,0,true,true,true
5,2020-01-01T05:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,97,0b557abea4f4d74b94896cad3910196d215ab3e91c0ed4078350391f92131a8d,b9f431884afc294319fed7d7251172c24dbb88728b6dae135f7944c356644017,3672.211107,747.327172653,-100,0.000000001,true,false,false,false,not_recovered_by_local_solver,,,560,0.282896996,12,Numerically failed,0.003969353,0.511106464,1129.122403109,0.000000284,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
5,2020-01-01T05:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,0b557abea4f4d74b94896cad3910196d215ab3e91c0ed4078350391f92131a8d,18da30b593ce7acc3768cdd1666aee55cfa693adc839560b9e098e63d629a088,3672.211107,747.327172653,-100,0.000000001,true,true,true,true,recovered_by_local_solver,,,560,0.454267025,18,Converged,0.000000001,0.000000014,0.000000011,0.000000017,971.205530939,971.205530939,0,971.205530939,107.841720014,31.164170628,9.654167999,107.841719833,0.00000018,8.722250297,3780.052826653,3672.211107,107.841719653,0,0,0,0,0,0,0.957396008,0,0,0.000001455,0.000005073,0.060134215,0,true,true,true
6,2020-01-01T06:00:00+00:00,reference_provider,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,1,98,46c675a8ea6b4a59551239085f0762e6f5d833b2cd02f74d75deddfa12dd898f,7fc4e23720a7762b74124fa1d921c210884d8b1bff5edba38022885aa0ca7187,3948.505719,803.555549832,-100.000000001,0,true,false,false,false,not_recovered_by_local_solver,,,560,0.279476404,13,Numerically failed,0.023932568,0.997889556,23865193.15504555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false
