hour_index,timestamp,mode,state_id,zero_data_center,dc_bus_api_placeholder,reference_bus,reference_generator_uid,active_power_envelope,adjustable_generator_count,fixed_generator_count,source_case_sha256,recovery_case_sha256,target_generation_sha256,adjustable_generator_rows_sha256,native_grid_demand_mw,native_reactive_demand_mvar,hvdc_dc1_flow_mw,dc_flow_reconstruction_residual_mw,evaluated,solver_success,feasibility_witnessed,status,solver_error_type,solver_error_message,solver_algorithm,solver_reported_algorithm,solver_elapsed_seconds,solver_iterations,solver_message,solver_final_feasibility_condition,solver_final_gradient_condition,solver_final_complementarity_condition,solver_final_cost_condition,solver_input_case_unchanged,recovery_input_fixed_fields_preserved,postsolve_network_equation_reconstruction_audit_passed,solver_result_fixed_fields_preserved,solver_result_fixed_case_sha256,external_bus_mapping_sha256,active_bus_count,isolated_bus_count,connected_component_count,reference_bus_count,reference_structure_valid,online_branch_count,offline_branch_count,nonunity_tap_count,nonzero_shift_count,nonzero_gs_count,nonzero_bs_count,solver_objective_mw2,reconstructed_objective_mw2,objective_mismatch_mw2,l1_target_deviation_mw,l2_target_deviation_mw,max_target_deviation_mw,total_up_redispatch_mw,total_down_redispatch_mw,total_generation_mw,total_active_demand_mw,total_generation_minus_demand_mw,max_active_power_bound_violation_mw,max_reactive_power_bound_violation_mvar,max_offline_pg_mw,max_offline_qg_mvar,max_offline_branch_flow_mva,max_voltage_violation_pu,max_branch_loading_fraction,max_branch_loading_violation_fraction,max_branch_angle_violation_degree,max_fixed_pg_deviation_mw,max_p_balance_residual_mw,max_q_balance_residual_mvar,max_ybus_terminal_shunt_identity_mismatch_mva,max_returned_recomputed_branch_flow_mismatch_mva,max_reference_angle_drift_degree,max_source_vg_to_optimized_vm_adjustment_pu,max_output_vg_bus_vm_mismatch_pu
0,2020-01-01T00:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,162cb0988716c56aa16656040adea0e1de11fcef6e53e608ae432b1bf5d51ee8,a027db14de5da2ecc67a6350e98bd4e14fd65960de705cfe4d068427e317f6ae,43ff219eb83145f9bcf8aa4a196ffe37e6d989ff492c2d60eaf061b3c64130c1,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,3337.3318841999999,679.17631327578977,-100.00000000093861,6.4906657826213632e-10,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.528289794921875,17,Converged,6.9400642439389187e-09,3.4689688903063947e-08,1.8007302046476371e-08,1.208621668519003e-08,true,true,true,true,a027db14de5da2ecc67a6350e98bd4e14fd65960de705cfe4d068427e317f6ae,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,918.73892100596697,918.73892100599744,3.0468072509393096e-11,113.32050867653828,30.310706375899546,8.7030086326745106,113.32050858680446,8.9733816821535584e-08,3450.6523926970713,3337.3318842000003,113.32050849707093,5.6843418860808015e-14,0,0,0,0,0,0.9711650670748786,0,0,5.6843418860808015e-14,3.1710785322047741e-06,3.4508063485816365e-05,3.9562445907734565e-12,1.4461389243812097e-12,8.8817841970012523e-16,0.057517287030449227,0
1,2020-01-01T01:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,cea0a0dce171e05c504601a464b711cbeba57a961db7e97c350bbc898dd5e2c5,70b2930cfe6a534f2dcaeaae637af04e549b95e752fd54aeed11ad6a088bc70c,31ba3c9b8a9a02cc091cb914dec9eca056f476b45b13facc0d7f8eb08f37f4c3,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,3261.0458226999999,663.65143058456124,-100.00000000008774,1.7548984487802954e-10,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.54649519920349121,19,Converged,7.489170376798166e-09,1.251104771236737e-08,1.0197421174122495e-07,1.0795092362347431e-07,true,true,true,true,70b2930cfe6a534f2dcaeaae637af04e549b95e752fd54aeed11ad6a088bc70c,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,1134.934766268007,1134.9347662680404,3.3423930290155113e-11,121.17958610011038,33.688792888259449,12.32275394009956,121.17958573834079,3.6176959383737994e-07,3382.2254080765715,3261.0458226999999,121.17958537657159,0,0,0,0,0,0,0.99999999991525657,0,0,0,1.1468687581839276e-05,3.695519114188528e-05,2.5270915899073569e-12,1.5651669520326115e-12,8.8817841970012523e-16,0.099999968984398557,0
2,2020-01-01T02:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,850f2ab2d1ddba4fc562cdc5deaa815a9fee8628af517c2b0035004987d588c8,66ef2160d516837fbaf57b81e4fe232157689f51444548cc906423bfda987877,849b7189888c3cce0b1b88c9dee119e2146079a079a5fa91dfbd0e8c586a5cff,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,3247.17265,660.82811824561406,-99.999999999438614,2.1050539089628728e-10,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.51553678512573242,16,Converged,4.6088064042463594e-09,5.745501992987984e-08,1.621514866365547e-08,6.2060283888326083e-10,true,true,true,true,66ef2160d516837fbaf57b81e4fe232157689f51444548cc906423bfda987877,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,858.04936547649368,858.04936547646014,3.3537617127876729e-11,109.52806814530649,29.292479674422584,8.3691327337493178,109.52806806576589,7.954059810799663e-08,3356.7007179862258,3247.1726499999995,109.52806798622623,0,0,0,0,0,0,0.96627805167443348,0,0,0,4.3537681335692469e-06,2.3295773779352658e-05,2.9041994733279293e-12,3.7546317956174564e-13,8.8817841970012523e-16,0.064109938650994347,0
3,2020-01-01T03:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,86d65d256bfa812688a24c09ad7e0fa5cdf9277106a8638aa79bc867a8afc986,7f3643c7b531fe46776cc75d4f41c470f19d46ebd664380f35ff522056a7629e,7f5a21a714187a818e27964ca40f5af2f54e1bcfbf7fd78c03310c375f9ac2d0,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,3264.5983209999999,664.37439515087726,-100.00000000000877,1.526302639831556e-09,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.51659750938415527,17,Converged,4.6922751422461975e-09,5.3362836203140107e-08,1.8205030752166808e-08,7.5405571859540764e-08,true,true,true,true,7f3643c7b531fe46776cc75d4f41c470f19d46ebd664380f35ff522056a7629e,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,831.15432374902423,831.1543237490273,3.0695446184836328e-12,107.79726745524405,28.829747202308717,8.2386901561723533,107.79726736265027,9.2593779754679417e-08,3372.3955882700557,3264.5983209999999,107.79726727005573,0,0,0,0,0,0,0.86772503628079778,0,0,0,4.5034566937829368e-06,2.3828622019550494e-05,2.9632975873618252e-12,3.9981842608112229e-13,8.8817841970012523e-16,0.068577270333694429,0
4,2020-01-01T04:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,463f70671088ce67184e0a8d041093ee2e2b1642cae9e6384fb9752e075bc48a,9889b4d12aa37e11eead803e3b6aa85f2220225c8a3efa5e61fc62baab464b2c,1dbd0dd6b51199b8c216a8bff6fba1ea4671a2e3782669ade04b4a10e1df58fa,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,3402.8584329999999,692.51154075087709,-100.00000000019298,3.1580782433593413e-10,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.43707752227783203,16,Converged,6.1995290836636684e-10,7.9575858854450271e-09,3.2727334934382181e-08,5.8310678299252884e-08,true,true,true,true,9889b4d12aa37e11eead803e3b6aa85f2220225c8a3efa5e61fc62baab464b2c,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,939.90349845460287,939.9034984546314,2.8535396268125623e-11,106.1176267816471,30.657845626440086,9.4462618559435754,106.11762618714688,5.9450022149576398e-07,3508.976058592647,3402.8584330000003,106.11762559264662,0,0,0,0,0,0,0.83261512161165785,0,0,0,9.0228235194445006e-07,3.1232772776945694e-06,4.4914411048188694e-12,3.5277570268892787e-13,8.8817841970012523e-16,0.068339727816127072,0
5,2020-01-01T05:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,0b557abea4f4d74b94896cad3910196d215ab3e91c0ed4078350391f92131a8d,18da30b593ce7acc3768cdd1666aee55cfa693adc839560b9e098e63d629a088,4d15b5f6d1b97567dd3c784d97e7dbd02f830b3a92c4424f4fcb3eeb1a94fd9e,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,3672.2111070000001,747.32717265263148,-99.999999999868436,8.5965723428671481e-10,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.55357098579406738,18,Converged,1.0150618549112674e-09,1.3842385449551644e-08,1.0767318660232689e-08,1.7394223688897135e-08,true,true,true,true,18da30b593ce7acc3768cdd1666aee55cfa693adc839560b9e098e63d629a088,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,971.2055309389724,971.20553093893864,3.3764990803319961e-11,107.84172001364774,31.164170628125795,9.6541679993167904,107.84171983332095,1.8032679349744285e-07,3780.0528266529936,3672.2111070000001,107.84171965299356,8.8817841970012523e-16,0,0,0,0,0,0.95739600821429993,0,0,8.8817841970012523e-16,1.4550457763107261e-06,5.072996493993287e-06,2.7208016420349903e-12,3.4417343524448128e-13,8.8817841970012523e-16,0.060134214879603243,0
6,2020-01-01T06:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,16,83,46c675a8ea6b4a59551239085f0762e6f5d833b2cd02f74d75deddfa12dd898f,135920f1a98f1c5b90fd1b713ce29f8b91381e09a8da941f7171a95cd3374492,92e2dd3691f5ded8d335e33a77aae3754aa24cd2c9fd01a9ac62af5a2a5e5208,40587a00b51fa032788480f27ce5b354a24b153fda1e156ade17b67ef180422c,3948.5057190000002,803.5555498315789,-100.00000000050879,1.4031797945790458e-10,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.47935199737548828,16,Converged,8.2023396134024289e-09,4.1166826270093222e-08,2.080606729215453e-07,2.6037623998297636e-07,true,true,true,true,135920f1a98f1c5b90fd1b713ce29f8b91381e09a8da941f7171a95cd3374492,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,1350.7801501605468,1350.7801501605447,2.0463630789890885e-12,110.21200488948479,36.752961107379427,12.781865547615219,110.21199868578852,6.2036962731326639e-06,4058.7177114820925,3948.5057189999998,110.21199248209268,0,0,0,0,0,0,0.89190106049353013,0,0,0,3.3840808976318971e-06,3.7595774275089866e-05,3.4243515960371822e-12,3.7765864436546257e-13,8.8817841970012523e-16,0.044067633486478019,0
7,2020-01-01T07:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,4b108c0c24ce1a38de2e4098684890e9962ddb8b7bc1cabaa0de179108271c6a,87e42968bcab0d22474fde6250ddeeffba9bb6fc2496dcdaedbb3b533d03a708,77681e35ad26715c4d4f61dd14d6d9b012fa5ba0ef00dedb2b66cf48e0e39814,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,3986.7594060000001,811.34051069473685,-99.999999999947363,1.2982468433619943e-09,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.51295828819274902,17,Converged,3.5122129898818771e-09,4.5335403638071831e-09,3.2787372102279262e-08,4.0028030761116307e-08,true,true,true,true,87e42968bcab0d22474fde6250ddeeffba9bb6fc2496dcdaedbb3b533d03a708,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,702.62077214733608,702.6207721473354,6.8212102632969618e-13,91.7407640108066,26.506994777743767,8.1970647479566381,91.740763398106125,6.1270046813888257e-07,4078.5001687854055,3986.7594059999997,91.740762785405877,7.1054273576010019e-15,0,0,0,0,0,0.89867746705807394,0,0,7.1054273576010019e-15,4.336385302394774e-06,1.7556384790395896e-05,2.7734477267211221e-12,5.4432222963071178e-13,8.8817841970012523e-16,0.055499703359877639,0
8,2020-01-01T08:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,2cdc7e74427bfdbfa1314ddb6b2451fd20e36b6ceb3e1dc080a3b11f669bb80f,86ee8c24fef2721d8bfe13f89e56664a2dd5b16f5f2fc5862c821105581a2c45,35fe8b93a7dfed99d533fd5129ea02554b2dc9d1b9adaba6a385ac098d289b39,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,4002.6722319999999,814.57891037192985,-99.999999999938595,2.631566076161107e-10,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.49753594398498535,16,Converged,1.1859816901677476e-10,5.1534340626723653e-10,3.1076537794330718e-08,1.3398439621349483e-08,true,true,true,true,86ee8c24fef2721d8bfe13f89e56664a2dd5b16f5f2fc5862c821105581a2c45,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,517.82034962879402,517.82034962879038,3.637978807091713e-12,85.057424661804959,22.755666319156429,6.5809941274747672,85.057424415942549,2.4586239888435557e-07,4087.7296561700796,4002.6722319999999,85.057424170079685,3.5527136788005009e-15,0,0,0,0,0,0.93668754740974691,0,0,3.5527136788005009e-15,1.2132871063386119e-07,6.2204756545725104e-07,3.0373437274053025e-12,3.9977526332851365e-13,8.8817841970012523e-16,0.056710523479785446,0
9,2020-01-01T09:00:00+00:00,distributed_committable,normal,true,120,115,115_STEAM_3,physical_envelope_no_response_time,15,83,9c4ad069b180ad84a378525c6a1e2b9d93e4ba211b7467d4114050f0808edcd2,6a52e2887d4712062f0eebb8aad71fe854847f6de9e0b8737bed13cf8d0a7969,009c6874f3db8ba9cc385668288c7e1cc2e45059c23bddd5ca2a5efe5d8b7a59,aeb266f140104b9b8468433c4de72502859da0e744c5c9c8e5fa7d899fdd9ca8,4032.3362860000002,820.61580557193008,-99.999999999763162,1.9302603959658882e-10,true,true,true,audited_numerical_feasibility_witness,,,565,565,0.44634199142456055,16,Converged,2.2661585798766871e-09,6.2087453381874012e-09,5.4922743108028732e-08,1.0611941460681745e-07,true,true,true,true,6a52e2887d4712062f0eebb8aad71fe854847f6de9e0b8737bed13cf8d0a7969,8c317a471aee3dfa8a09806051f0d20d6bf02e5235d24286f73c12d44141a70d,73,0,1,1,true,120,0,15,0,0,3,444.5695079542279,444.56950795425581,2.7910118660656735e-11,78.799414507170184,21.084817000729597,6.1174274998018561,78.799414134414917,3.7275526842961426e-07,4111.1356997616595,4032.3362859999997,78.799413761659707,7.1054273576010019e-15,0,0,0,0,0,0.97352867022582246,0,0,7.1054273576010019e-15,1.4166406003823795e-06,1.1992529941551311e-05,4.1616400041034128e-12,2.7856537746959957e-13,8.8817841970012523e-16,0.048468844388405152,0
