hour_index,timestamp,control_id,zero_data_center,poi_applicable,dc_bus_api_placeholder,power_factor_case,configured_power_factor_value,state_id,branch_rating,native_grid_demand_mw,data_center_power_mw,data_center_reactive_demand_mvar,native_reactive_demand_mvar,hvdc_dc1_flow_mw,dc_flow_reconstruction_residual_mw,evaluated,converged,secure,status,min_voltage_pu,min_voltage_bus,max_voltage_pu,max_voltage_bus,max_voltage_violation_pu,max_branch_loading_fraction,max_loaded_branch_uid,max_active_power_violation_mw,max_active_power_violation_generator_uid,max_reactive_power_violation_mvar,max_reactive_power_violation_generator_uid,max_non_slack_pg_deviation_mw,reference_bus,reference_generator_uid,active_generator_count,requested_generation_mw,ac_generation_mw,slack_and_loss_adjustment_mw
0,2020-01-01T00:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3337.3318842,0,0,679.176313276,-100.000000001,0.000000001,true,true,false,constraint_violation,1.018311138,207,1.107023033,310,0.057023033,0.970041771,C6,21.787009052,115_STEAM_3,19.171929696,201_HYDRO_4,0,115,115_STEAM_3,98,3337.3318842,3452.118893252,114.787009052
1,2020-01-01T01:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3261.0458227,0,0,663.651430585,-100,0,true,true,false,constraint_violation,1.020726856,207,1.112651795,310,0.062651795,1.011388268,C6,19.054868499,115_STEAM_3,21.02655788,201_HYDRO_4,0,115,115_STEAM_3,98,3261.0458227,3373.100691199,112.054868499
2,2020-01-01T02:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3247.17265,0,0,660.828118246,-99.999999999,0,true,true,false,constraint_violation,1.021061831,207,1.118221184,310,0.068221184,0.964668603,C6,17.321293881,115_STEAM_3,21.188480274,201_HYDRO_4,0,115,115_STEAM_3,98,3247.17265,3357.493943881,110.321293881
3,2020-01-01T03:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3264.598321,0,0,664.374395151,-100,0.000000002,true,true,false,constraint_violation,1.021131214,207,1.12477665,306,0.07477665,0.958973284,C10,15.167148667,115_STEAM_3,21.18919734,201_HYDRO_4,0,115,115_STEAM_3,98,3264.598321,3372.765469667,108.167148667
4,2020-01-01T04:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3402.858433,0,0,692.511540751,-100,0,true,true,false,constraint_violation,1.01837637,207,1.123765519,306,0.073765519,0.96191043,C10,13.692667626,115_STEAM_3,18.633691962,201_HYDRO_4,0,115,115_STEAM_3,98,3402.858433,3509.551100626,106.692667626
5,2020-01-01T05:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3672.211107,0,0,747.327172653,-100,0.000000001,true,true,false,constraint_violation,1.011050561,207,1.110085659,310,0.060085659,0.954572591,C6,15.151374358,115_STEAM_3,13.999002361,201_HYDRO_4,0,115,115_STEAM_3,98,3672.211107,3780.362481358,108.151374358
6,2020-01-01T06:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3948.505719,0,0,803.555549832,-100.000000001,0,true,true,false,constraint_violation,0.985309676,307,1.081064141,210,0.031064141,0.885104427,C6,82.82312756,115_STEAM_3,19.012745474,301_CT_1,0,115,115_STEAM_3,99,3948.505719,4062.32884656,113.82312756
7,2020-01-01T07:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3986.759406,0,0,811.340510695,-100,0.000000001,true,true,false,constraint_violation,1.003587267,207,1.104608794,310,0.054608794,0.987598398,C10,0,101_STEAM_3,10.98755906,201_HYDRO_4,0,115,115_STEAM_3,98,3986.759406,4079.392545354,92.633139354
8,2020-01-01T08:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4002.672232,0,0,814.578910372,-100,0,true,true,false,constraint_violation,1.006048074,207,1.109559402,310,0.059559402,1.031143064,C10,0,101_STEAM_4,12.770384629,201_HYDRO_4,0,115,115_STEAM_3,98,4002.672232,4087.955218051,85.282986051
9,2020-01-01T09:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4032.336286,0,0,820.615805572,-100,0,true,true,false,constraint_violation,1.005459289,207,1.097259995,310,0.047259995,1.044044315,C10,0,102_STEAM_3,12.360568072,201_HYDRO_4,0,115,115_STEAM_3,98,4032.336286,4111.036102436,78.699816436
10,2020-01-01T10:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4023.089346,0,0,818.733972168,-100,0.000000002,true,true,false,constraint_violation,1.003382813,307,1.091946033,310,0.041946033,1.047714842,C10,0,101_STEAM_3,14.521957954,201_HYDRO_4,0,115,115_STEAM_3,98,4023.089346,4091.167972713,68.078626713
11,2020-01-01T11:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4014.027883,0,0,816.889884961,-100,0,true,true,false,constraint_violation,1.008086447,307,1.096199884,310,0.046199884,1.047729098,C10,0,101_STEAM_3,15.587271188,201_HYDRO_4,0,115,115_STEAM_3,98,4014.027883,4075.448251159,61.420368159
12,2020-01-01T12:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3980.797066,0,0,810.127122204,-100,0.000000001,true,true,false,constraint_violation,1.007226703,307,1.095559978,310,0.045559978,1.042415135,C10,0,101_STEAM_3,15.663296899,201_HYDRO_4,0,115,115_STEAM_3,98,3980.797066,4041.197909987,60.400843987
13,2020-01-01T13:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3958.54615,0,0,805.598865614,-100,0.000000001,true,true,false,constraint_violation,1.003646754,307,1.094606142,310,0.044606142,1.032433296,C10,0,101_STEAM_3,17.100473526,201_HYDRO_4,0,321,321_CC_1,99,3958.54615,4015.001990689,56.455840689
14,2020-01-01T14:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3929.231137,0,0,799.633003319,-100,0,true,true,false,constraint_violation,0.989349458,307,1.085583113,210,0.035583113,1.018111695,C10,0,101_STEAM_3,19.144051447,201_HYDRO_4,0,321,321_CC_1,99,3929.231137,3984.599515776,55.368378776
15,2020-01-01T15:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3912.80087,0,0,796.28929986,-99.999999999,0.000000001,true,true,false,constraint_violation,0.954313568,307,1.084381929,210,0.034381929,0.950770972,C10,0,101_STEAM_3,13.421484957,201_HYDRO_4,0,107,107_CC_1,100,3912.80087,3997.646562308,84.845692308
16,2020-01-01T16:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4057.433272,0,0,825.723262372,100,0.000000002,true,true,false,constraint_violation,0.9568,307,1.082933585,210,0.032933585,1.017415095,A11,15.731287231,107_CC_1,11.266929682,201_HYDRO_4,0,107,107_CC_1,105,4057.433272,4156.82858695,99.39531495
17,2020-01-01T17:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4578.057226,0,0,931.674803888,57.313434199,0.000000001,true,true,false,constraint_violation,0.9568,307,1.077105305,110,0.027105305,1.022429643,AB1,50.807080889,107_CC_1,61.910217689,316_STEAM_1,0,107,107_CC_1,104,4578.057226,4707.719452854,129.662226854
18,2020-01-01T18:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4554.393766,0,0,926.859082204,-100.000000001,0.000000002,true,true,false,constraint_violation,0.9568,307,1.080916193,110,0.030916193,1.007334481,AB1,21.8954727,107_CC_1,86.968749306,316_STEAM_1,0,107,107_CC_1,103,4554.393766,4683.128806228,128.735040228
19,2020-01-01T19:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4449.398154,0,0,905.491554147,-29.969999356,0.000000001,true,true,false,constraint_violation,0.9568,307,1.08092581,110,0.03092581,0.934639469,AB1,0,101_STEAM_3,56.956260611,316_STEAM_1,0,107,107_CC_1,103,4449.398154,4564.612019639,115.213865639
20,2020-01-01T20:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4291.819143,0,0,873.422843137,-100,0.000000001,true,true,false,constraint_violation,0.9568,307,1.083765365,110,0.033765365,0.935706023,C27,0,101_STEAM_3,18.542603506,316_STEAM_1,0,107,107_CC_1,102,4291.819143,4391.859137505,100.039994505
21,2020-01-01T21:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,4016.216875,0,0,817.335364035,-100.000000001,0,true,true,false,constraint_violation,0.951472885,307,1.084983084,110,0.034983084,0.899916702,A10,0,101_STEAM_3,6.55466504,102_STEAM_3,0,107,107_CC_1,99,4016.216875,4113.560343996,97.343468996
22,2020-01-01T22:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3707.115587,0,0,754.430540512,-99.999999999,0.000000002,true,true,false,constraint_violation,0.979530931,307,1.087375058,110,0.037375058,0.922479568,C10,0,101_STEAM_3,20.718635022,201_HYDRO_4,0,107,107_CC_1,96,3707.115587,3813.832809971,106.717222971
23,2020-01-01T23:00:00+00:00,zero_dc_reoptimized_common_selected_n1_dispatch,true,false,120,not_applicable_zero_active_power,1,normal,continuous,3453.5968683,0,0,702.837257408,-100,0,true,true,false,constraint_violation,1.004046299,307,1.089338855,310,0.039338855,0.963337569,C10,0,101_STEAM_3,39.324274569,201_HYDRO_4,0,221,221_CC_1,95,3453.5968683,3548.702270857,95.105402557
